ad_creative_body,ad_delivery_start_time,funding_entity,spend/lower_bound,spend/upper_bound,impressions/lower_bound,impressions/upper_bound,region_distribution/0/percentage,region_distribution/0/region,region_distribution/1/percentage,region_distribution/1/region,region_distribution/2/percentage,region_distribution/2/region,region_distribution/3/percentage,region_distribution/3/region,region_distribution/4/percentage,region_distribution/4/region,region_distribution/5/percentage,region_distribution/5/region,region_distribution/6/percentage,region_distribution/6/region,region_distribution/7/percentage,region_distribution/7/region,region_distribution/8/percentage,region_distribution/8/region,region_distribution/9/percentage,region_distribution/9/region,region_distribution/10/percentage,region_distribution/10/region,region_distribution/11/percentage,region_distribution/11/region,region_distribution/12/percentage,region_distribution/12/region,region_distribution/13/percentage,region_distribution/13/region,region_distribution/14/percentage,region_distribution/14/region,region_distribution/15/percentage,region_distribution/15/region,region_distribution/16/percentage,region_distribution/16/region,region_distribution/17/percentage,region_distribution/17/region,region_distribution/18/percentage,region_distribution/18/region,region_distribution/19/percentage,region_distribution/19/region,region_distribution/20/percentage,region_distribution/20/region,region_distribution/21/percentage,region_distribution/21/region,region_distribution/22/percentage,region_distribution/22/region,region_distribution/23/percentage,region_distribution/23/region,region_distribution/24/percentage,region_distribution/24/region,region_distribution/25/percentage,region_distribution/25/region,region_distribution/26/percentage,region_distribution/26/region,region_distribution/27/percentage,region_distribution/27/region,region_distribution/28/percentage,region_distribution/28/region,region_distribution/29/percentage,region_distribution/29/region,region_distribution/30/percentage,region_distribution/30/region,region_distribution/31/percentage,region_distribution/31/region,region_distribution/32/percentage,region_distribution/32/region,region_distribution/33/percentage,region_distribution/33/region,region_distribution/34/percentage,region_distribution/34/region,region_distribution/35/percentage,region_distribution/35/region,region_distribution/36/percentage,region_distribution/36/region,region_distribution/37/percentage,region_distribution/37/region,region_distribution/38/percentage,region_distribution/38/region,region_distribution/39/percentage,region_distribution/39/region,region_distribution/40/percentage,region_distribution/40/region,region_distribution/41/percentage,region_distribution/41/region,region_distribution/42/percentage,region_distribution/42/region,region_distribution/43/percentage,region_distribution/43/region,region_distribution/44/percentage,region_distribution/44/region,region_distribution/45/percentage,region_distribution/45/region,region_distribution/46/percentage,region_distribution/46/region,region_distribution/47/percentage,region_distribution/47/region,region_distribution/48/percentage,region_distribution/48/region,region_distribution/49/percentage,region_distribution/49/region,region_distribution/50/percentage,region_distribution/50/region,region_distribution/51/percentage,region_distribution/51/region
"If you support President Trump, join us!",2019-08-21T16:09:20+0000,Need It LLC,0,99,0,999,0.025,Alabama,0.03,Oklahoma,0.005,Nevada,0.005,New Jersey,0.005,New Mexico,0.035,New York,0.04,North Carolina,0.065,Ohio,0.005,Oregon,0.015,Missouri,0.045,Pennsylvania,0.025,South Carolina,0.035,Tennessee,0.075,Texas,0.01,Utah,0.03,Virginia,0.015,West Virginia,0.005,Nebraska,0.005,Mississippi,0.005,Alaska,0.015,Idaho,0.03,Arizona,0.03,Arkansas,0.07,California,0.01,Connecticut,0.04,Florida,0.045,Georgia,0.005,Hawaii,0.045,Illinois,0.01,Minnesota,0.045,Indiana,0.05,Kentucky,0.04,Louisiana,0.015,Maine,0.005,Maryland,0.01,Massachusetts,0.04,Michigan,0.015,Wisconsin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"If you support President Trump, join us!",2019-08-21T16:09:18+0000,Need It LLC,0,99,0,999,0.044586,Alabama,0.019108,Oklahoma,0.006369,Nebraska,0.006369,Nevada,0.006369,New Hampshire,0.006369,New Jersey,0.038217,New York,0.057325,North Carolina,0.044586,Ohio,0.012739,Oregon,0.019108,Mississippi,0.012739,Pennsylvania,0.019108,South Carolina,0.063694,Tennessee,0.057325,Texas,0.006369,Vermont,0.031847,Virginia,0.012739,Washington,0.012739,West Virginia,0.057325,Missouri,0.006369,Minnesota,0.012739,Alaska,0.012739,Idaho,0.025478,Arizona,0.019108,Arkansas,0.044586,California,0.019108,Colorado,0.006369,Delaware,0.031847,Florida,0.012739,Georgia,0.038217,Illinois,0.025478,Michigan,0.031847,Indiana,0.006369,Iowa,0.006369,Kansas,0.044586,Kentucky,0.031847,Louisiana,0.031847,Maine,0.019108,Maryland,0.012739,Massachusetts,0.025478,Wisconsin,,,,,,,,,,,,,,,,,,,,,,
"If you support President Trump, join us!",2019-08-21T16:09:16+0000,Need It LLC,0,99,0,999,0.010363,Alabama,0.036269,Oklahoma,0.005181,Montana,0.010363,Nebraska,0.005181,Nevada,0.010363,New Jersey,0.025907,New York,0.015544,North Carolina,0.088083,Ohio,0.025907,Oregon,0.020725,Mississippi,0.051813,Pennsylvania,0.010363,South Dakota,0.015544,Tennessee,0.07772,Texas,0.010363,Virginia,0.015544,Washington,0.015544,West Virginia,0.041451,Missouri,0.025907,Minnesota,0.020725,Arizona,0.031088,Illinois,0.010363,Arkansas,0.067358,California,0.020725,Colorado,0.005181,Connecticut,0.062176,Florida,0.056995,Georgia,0.005181,Idaho,0.031088,Indiana,0.041451,Michigan,0.015544,Iowa,0.015544,Kansas,0.036269,Kentucky,0.010363,Louisiana,0.005181,Maine,0.015544,Maryland,0.015544,Massachusetts,0.015544,Wisconsin,,,,,,,,,,,,,,,,,,,,,,,,,,
"If you support President Trump, join us!",2019-08-21T16:09:16+0000,Need It LLC,0,99,0,999,0.037037,Alabama,0.027778,Oklahoma,0.00463,New Hampshire,0.018519,New Jersey,0.027778,New Mexico,0.037037,New York,0.027778,North Carolina,0.00463,North Dakota,0.055556,Ohio,0.032407,Oregon,0.00463,Nebraska,0.046296,Pennsylvania,0.018519,South Carolina,0.041667,Tennessee,0.083333,Texas,0.009259,Utah,0.027778,Virginia,0.009259,Washington,0.00463,West Virginia,0.009259,Nevada,0.00463,Montana,0.027778,Arizona,0.037037,Illinois,0.023148,Arkansas,0.055556,California,0.00463,Colorado,0.013889,Delaware,0.055556,Florida,0.023148,Georgia,0.00463,Idaho,0.027778,Indiana,0.041667,Missouri,0.00463,Iowa,0.009259,Kansas,0.041667,Kentucky,0.032407,Louisiana,0.00463,Maryland,0.018519,Michigan,0.013889,Minnesota,0.018519,Mississippi,0.009259,Wisconsin,,,,,,,,,,,,,,,,,,,,,,
"If you support President Trump, join us!",2019-08-21T16:09:15+0000,Need It LLC,0,99,0,999,0.019802,Alabama,0.00495,Oregon,0.019802,Nebraska,0.019802,New Jersey,0.00495,New Mexico,0.039604,New York,0.054455,North Carolina,0.069307,Ohio,0.029703,Oklahoma,0.039604,Pennsylvania,0.034653,Missouri,0.019802,South Carolina,0.019802,Tennessee,0.069307,Texas,0.00495,Utah,0.039604,Virginia,0.029703,Washington,0.024752,West Virginia,0.009901,Wisconsin,0.014851,Montana,0.009901,Mississippi,0.00495,Alaska,0.019802,Illinois,0.029703,Arizona,0.014851,Arkansas,0.049505,California,0.009901,Colorado,0.064356,Florida,0.039604,Georgia,0.00495,Idaho,0.024752,Indiana,0.014851,Minnesota,0.014851,Iowa,0.009901,Kansas,0.044554,Kentucky,0.014851,Louisiana,0.00495,Maine,0.014851,Maryland,0.009901,Massachusetts,0.024752,Michigan,0.00495,Wyoming,,,,,,,,,,,,,,,,,,,,,,
"If you support President Trump, join us!",2019-08-21T16:09:14+0000,Need It LLC,0,99,0,999,0.034043,Alabama,0.017021,Oklahoma,0.008511,Nebraska,0.004255,New Hampshire,0.004255,New Jersey,0.004255,New Mexico,0.046809,New York,0.042553,North Carolina,0.051064,Ohio,0.017021,Oregon,0.008511,Mississippi,0.038298,Pennsylvania,0.008511,Rhode Island,0.017021,South Carolina,0.034043,Tennessee,0.093617,Texas,0.021277,Virginia,0.025532,Washington,0.017021,West Virginia,0.012766,Missouri,0.012766,Minnesota,0.004255,Alaska,0.017021,Idaho,0.017021,Arizona,0.004255,Arkansas,0.029787,California,0.017021,Colorado,0.004255,Connecticut,0.004255,Delaware,0.046809,Florida,0.042553,Georgia,0.046809,Illinois,0.051064,Michigan,0.038298,Indiana,0.004255,Iowa,0.021277,Kansas,0.051064,Kentucky,0.021277,Louisiana,0.025532,Maine,0.008511,Maryland,0.004255,Massachusetts,0.021277,Wisconsin,,,,,,,,,,,,,,,,,,,,
"If you support President Trump, join us!",2019-08-21T16:09:13+0000,Need It LLC,0,99,0,999,0.028846,Alabama,0.038462,Pennsylvania,0.004808,Nevada,0.004808,New Jersey,0.014423,New Mexico,0.052885,New York,0.038462,North Carolina,0.043269,Ohio,0.033654,Oklahoma,0.004808,Oregon,0.014423,South Carolina,0.004808,Montana,0.043269,Tennessee,0.091346,Texas,0.009615,Utah,0.004808,Vermont,0.019231,Virginia,0.024038,Washington,0.014423,West Virginia,0.004808,Wisconsin,0.004808,Nebraska,0.033654,Missouri,0.004808,Alaska,0.033654,Illinois,0.033654,Arizona,0.038462,Arkansas,0.043269,California,0.019231,Colorado,0.019231,Connecticut,0.057692,Florida,0.019231,Georgia,0.004808,Idaho,0.024038,Indiana,0.009615,Mississippi,0.014423,Iowa,0.009615,Kansas,0.043269,Kentucky,0.014423,Louisiana,0.004808,Maine,0.014423,Maryland,0.004808,Massachusetts,0.043269,Michigan,0.004808,Minnesota,0.004808,Wyoming,,,,,,,,,,,,,,,,
"If you support President Trump, join us!",2019-08-21T16:09:13+0000,Need It LLC,0,99,0,999,0.02765,Alabama,0.018433,Oklahoma,0.013825,Nevada,0.004608,New Hampshire,0.018433,New Jersey,0.004608,New Mexico,0.036866,New York,0.018433,North Carolina,0.004608,North Dakota,0.0553,Ohio,0.004608,Oregon,0.004608,Montana,0.046083,Pennsylvania,0.013825,South Carolina,0.064516,Tennessee,0.087558,Texas,0.009217,Utah,0.046083,Virginia,0.009217,Washington,0.009217,West Virginia,0.009217,Nebraska,0.009217,Missouri,0.009217,Alaska,0.036866,Illinois,0.013825,Arizona,0.023041,Arkansas,0.050691,California,0.009217,Colorado,0.004608,Connecticut,0.078341,Florida,0.02765,Georgia,0.013825,Idaho,0.041475,Indiana,0.023041,Mississippi,0.013825,Iowa,0.013825,Kansas,0.018433,Kentucky,0.018433,Louisiana,0.018433,Maryland,0.004608,Massachusetts,0.02765,Michigan,0.018433,Minnesota,0.018433,Wisconsin,,,,,,,,,,,,,,,,,,
"If you support President Trump, join us!",2019-08-21T16:09:12+0000,Need It LLC,0,99,0,999,0.038889,Alabama,0.016667,Oklahoma,0.027778,Nevada,0.005556,New Hampshire,0.016667,New Jersey,0.022222,New Mexico,0.033333,New York,0.044444,North Carolina,0.038889,Ohio,0.022222,Pennsylvania,0.011111,Mississippi,0.005556,Rhode Island,0.022222,South Carolina,0.044444,Tennessee,0.061111,Texas,0.027778,Virginia,0.005556,Washington,0.011111,West Virginia,0.038889,Missouri,0.011111,Minnesota,0.011111,Arizona,0.005556,Idaho,0.016667,Arkansas,0.105556,California,0.011111,Colorado,0.005556,Delaware,0.077778,Florida,0.027778,Georgia,0.005556,Hawaii,0.027778,Illinois,0.022222,Michigan,0.027778,Indiana,0.011111,Iowa,0.005556,Kansas,0.022222,Kentucky,0.033333,Louisiana,0.005556,Maine,0.022222,Maryland,0.033333,Massachusetts,0.016667,Wisconsin,,,,,,,,,,,,,,,,,,,,,,,,
Shop the entire collection! Use code 'SAVAGE' for 10% off your entire order!,2019-08-21T04:39:47+0000,Savage Patriot,0,99,0,999,0.039216,Arkansas,0.019608,Missouri,0.039216,Virginia,0.117647,Texas,0.058824,South Carolina,0.117647,Ohio,0.078431,North Carolina,0.039216,New York,0.039216,New Jersey,0.019608,Nevada,0.019608,Michigan,0.019608,Connecticut,0.039216,Maryland,0.058824,Kentucky,0.019608,Indiana,0.019608,Illinois,0.058824,Georgia,0.137255,Florida,0.019608,"Washington, District of Columbia",0.019608,Delaware,0.019608,Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Use code ""SAVAGE"" for 10% off",2019-08-21T04:39:47+0000,Savage Patriot,0,99,1000,4999,0.001062,Unknown,0.044972,Pennsylvania,0.009207,Nevada,0.001416,New Hampshire,0.028683,New Jersey,0.006728,New Mexico,0.070822,New York,0.044263,North Carolina,0.002479,North Dakota,0.044972,Ohio,0.009915,Oklahoma,0.007082,Oregon,0.004958,Rhode Island,0.002479,Montana,0.012748,South Carolina,0.003895,South Dakota,0.021246,Tennessee,0.101629,Texas,0.005312,Utah,0.001062,Vermont,0.026558,Virginia,0.014518,Washington,0.004958,West Virginia,0.014518,Wisconsin,0.004603,Nebraska,0.017705,Missouri,0.015935,Alabama,0.00779,Hawaii,0.007436,Alaska,0.020538,Arizona,0.011331,Arkansas,0.094547,California,0.009207,Colorado,0.011686,Connecticut,0.006728,Delaware,0.001771,"Washington, District of Columbia",0.063031,Florida,0.036827,Georgia,0.003895,Idaho,0.013456,Mississippi,0.022309,Illinois,0.014518,Indiana,0.009207,Iowa,0.008144,Kansas,0.022309,Kentucky,0.020538,Louisiana,0.002479,Maine,0.030453,Maryland,0.01983,Massachusetts,0.03187,Michigan,0.00602,Minnesota,0.000354,Wyoming
Shop the entire collection! Use code 'SAVAGE' for 10% off your entire order!,2019-08-21T04:29:05+0000,Savage Patriot,0,99,0,999,0.018182,Alabama,0.010909,Oregon,0.003636,Nevada,0.021818,New Jersey,0.029091,New Mexico,0.043636,New York,0.032727,North Carolina,0.007273,North Dakota,0.054545,Ohio,0.021818,Oklahoma,0.021818,Pennsylvania,0.014545,Missouri,0.010909,South Carolina,0.007273,South Dakota,0.021818,Tennessee,0.156364,Texas,0.003636,Utah,0.018182,Virginia,0.018182,Washington,0.003636,West Virginia,0.003636,Montana,0.018182,Mississippi,0.003636,Alaska,0.036364,Illinois,0.032727,Arizona,0.018182,Arkansas,0.156364,California,0.018182,Colorado,0.003636,Connecticut,0.032727,Florida,0.021818,Georgia,0.010909,Hawaii,0.010909,Indiana,0.010909,Minnesota,0.010909,Iowa,0.014545,Kansas,0.021818,Kentucky,0.014545,Louisiana,0.003636,Maine,0.003636,Maryland,0.007273,Massachusetts,0.018182,Michigan,0.007273,Wisconsin,,,,,,,,,,,,,,,,,,
"Use code ""SAVAGE"" for 10% off",2019-08-21T04:29:05+0000,Savage Patriot,0,99,1000,4999,0.024406,Alabama,0.029024,Pennsylvania,0.011873,Nevada,0.00066,New Hampshire,0.015831,New Jersey,0.01715,New Mexico,0.05409,New York,0.023087,North Carolina,0.003298,North Dakota,0.040897,Ohio,0.01715,Oklahoma,0.011214,Oregon,0.001319,Rhode Island,0.007916,Montana,0.01781,South Carolina,0.003298,South Dakota,0.023747,Tennessee,0.120712,Texas,0.012533,Utah,0.001979,Vermont,0.015172,Virginia,0.015831,Washington,0.009235,West Virginia,0.01781,Wisconsin,0.005937,Nebraska,0.023747,Missouri,0.003958,Alaska,0.004617,Idaho,0.031003,Arizona,0.010554,Arkansas,0.110158,California,0.016491,Colorado,0.009894,Connecticut,0.001319,Delaware,0.001979,"Washington, District of Columbia",0.034301,Florida,0.023747,Georgia,0.007256,Hawaii,0.05343,Illinois,0.019789,Mississippi,0.021108,Indiana,0.010554,Iowa,0.008575,Kansas,0.011873,Kentucky,0.021768,Louisiana,0.001979,Maine,0.005277,Maryland,0.013852,Massachusetts,0.030343,Michigan,0.01715,Minnesota,0.003298,Wyoming,,
