ad_creative_body,ad_delivery_start_time,funding_entity,spend/lower_bound,spend/upper_bound,impressions/lower_bound,impressions/upper_bound,region_distribution/0/percentage,region_distribution/0/region,region_distribution/1/percentage,region_distribution/1/region,region_distribution/2/percentage,region_distribution/2/region,region_distribution/3/percentage,region_distribution/3/region,region_distribution/4/percentage,region_distribution/4/region,region_distribution/5/percentage,region_distribution/5/region,region_distribution/6/percentage,region_distribution/6/region,region_distribution/7/percentage,region_distribution/7/region,region_distribution/8/percentage,region_distribution/8/region,region_distribution/9/percentage,region_distribution/9/region,region_distribution/10/percentage,region_distribution/10/region,region_distribution/11/percentage,region_distribution/11/region,region_distribution/12/percentage,region_distribution/12/region,region_distribution/13/percentage,region_distribution/13/region,region_distribution/14/percentage,region_distribution/14/region,region_distribution/15/percentage,region_distribution/15/region,region_distribution/16/percentage,region_distribution/16/region,region_distribution/17/percentage,region_distribution/17/region,region_distribution/18/percentage,region_distribution/18/region,region_distribution/19/percentage,region_distribution/19/region,region_distribution/20/percentage,region_distribution/20/region,region_distribution/21/percentage,region_distribution/21/region,region_distribution/22/percentage,region_distribution/22/region,region_distribution/23/percentage,region_distribution/23/region,region_distribution/24/percentage,region_distribution/24/region,region_distribution/25/percentage,region_distribution/25/region,region_distribution/26/percentage,region_distribution/26/region,region_distribution/27/percentage,region_distribution/27/region,region_distribution/28/percentage,region_distribution/28/region,region_distribution/29/percentage,region_distribution/29/region,region_distribution/30/percentage,region_distribution/30/region,region_distribution/31/percentage,region_distribution/31/region,region_distribution/32/percentage,region_distribution/32/region,region_distribution/33/percentage,region_distribution/33/region,region_distribution/34/percentage,region_distribution/34/region,region_distribution/35/percentage,region_distribution/35/region,region_distribution/36/percentage,region_distribution/36/region,region_distribution/37/percentage,region_distribution/37/region,region_distribution/38/percentage,region_distribution/38/region,region_distribution/39/percentage,region_distribution/39/region,region_distribution/40/percentage,region_distribution/40/region,region_distribution/41/percentage,region_distribution/41/region,region_distribution/42/percentage,region_distribution/42/region,region_distribution/43/percentage,region_distribution/43/region,region_distribution/44/percentage,region_distribution/44/region,region_distribution/45/percentage,region_distribution/45/region,region_distribution/46/percentage,region_distribution/46/region,region_distribution/47/percentage,region_distribution/47/region,region_distribution/48/percentage,region_distribution/48/region,region_distribution/49/percentage,region_distribution/49/region,region_distribution/50/percentage,region_distribution/50/region,region_distribution/51/percentage,region_distribution/51/region,region_distribution/52/percentage,region_distribution/52/region,region_distribution/53/percentage,region_distribution/53/region,region_distribution/54/percentage,region_distribution/54/region,region_distribution/55/percentage,region_distribution/55/region,region_distribution/56/percentage,region_distribution/56/region,region_distribution/57/percentage,region_distribution/57/region,region_distribution/58/percentage,region_distribution/58/region,region_distribution/59/percentage,region_distribution/59/region,region_distribution/60/percentage,region_distribution/60/region,region_distribution/61/percentage,region_distribution/61/region,region_distribution/62/percentage,region_distribution/62/region,region_distribution/63/percentage,region_distribution/63/region
"My followers of sorts frequently reminded that slavery and racism are history when I write about it on this blog.  They have said that we can’t fix history and we need to write about things that are more current and to not keep dredging up something that happens a couple centuries ago.  So, with the help of the Equal Justice Initiative, here are some current events that have an Anniversary in November and December.  

November 2, 2004, Alabama voters reject a constitutional amendment that would have officially desegregated Alabama schools.  Law makers said that they like to keep the segregated schools for “white and colored children” laws on the books just in case. 

November 3, 2000, Alabama finally repeals the 1901 state constitutional ban on interracial marriages.  However, the majority of white voters were against the repeal. 

November 15, 2010, former police officer James Bonnard Fowler pleads guiltily to the 1965 murder of civil rights activist Jimmie Lee Jackson in Marion Alabama. He was given a six month sentence.  

November 16, 2015, Texas history textbooks depicted enslaved people as “workers from Africa” rather than slaves. State law makers reject the call to change the textbooks and fact check the history recorded within.

November 18, 1983, James Cody is beaten, electrocuted, and threatened with castration by officers of the Chicago police department, that systematically tortured more than a hundred black men over thirty years. 

November 19, 1988, Judge in Dallas Texas gives reduced sentence to white student for targeting and killing two gay men.  He likened them to prostitutes and refused to give someone a life sentence for killing a prostitute. 

November 23, 2014, Tamil Rice, a black 12 year old boy, dies after being shot by the police for playing with a toy gun in a park by his home in Cleveland OH.  

November 26, 2016, Southern Poverty Law Center reports 400 physical and verbal attacks and incidents of intimidation and harassment of women, Muslims, immigrants, and African Americans since Trumps election.  

November 27, 1995, Criminologists predict a black youth crime wave calling them “super-predators” leading to laws that expose thousands of black kids to adult prosecution. 

December 10, 2008, Police officers in Shenandoah, PA face federal charges for covering up murder of Mexican immigrant Luis Ramirez by white teens spewing racial slurs.  

December 22, 2013, Federal court in Alabama upholds a redistricting plan designed by Republicans that reduces black voting power.  

Ok, now for an older historic events that should be mentioned

November 22, 1865, (Thanksgiving Day in 2018) just a couple of weeks before the 13th amendment was ratified, Mississippi requires local sheriffs to round up black orphans and sell them to whites as laborers. 

December 24, 1865, Christmas Eve, a group of Confederate Army veterans establishes the Ku Klux Klan in Pulaski, Tennessee.   

Here is another interesting event that I found that had an anniversary in October.

October 24, 2012, U.S. Justice Department files civil rights lawsuit against Meridian Mississippi officials for incarcerating black and disable children for dress code violations and talking back to teachers.  

It doesn’t look to me like slavery and racist practices are a thing of long past history.  It is still right in front of us.  I am not using the race card but showing the entire deck is stacked.  Thoughts?",2018-11-22T18:58:24+0000,A Call for Reparations and K. Kinnamont,0,99,1000,4999,1,Maryland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NEW Podcast: Award winning historian, author, and NYU professor Linda Gordon joins the podcast to discuss her nationally acclaimed book, ""The Second Coming of the KKK: The Ku Klux Klan of the 1920s and the American Political Tradition."" Ben and Linda also discuss the staggering political and social power the Klan had in middle America, how the Klan was organized as a pyramid scheme, how racism thrives on conspiracy theories, and white backlash in America.

iTunes: https://itunes.apple.com/us/podcast/full-disclosure-with-ben-nakhaima/id1341109276?mt=2#episodeGuid=3e0a7c960cc146eea66f1408baec53ba

Spotify: https://open.spotify.com/episode/4QC3uSTNzzswA7vT2mpE8P

Make sure to give us 5 stars, tell your friends about the podcast, and SUBSCRIBE!",2018-11-10T22:16:21+0000,Full Disclosure with Ben Nakhaima,0,99,1000,4999,1,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wealth Chatter Blog:  Grant & Ward

I just finished the exceptional Ron Cherow tome, Grant.   I didn’t know much about Grant other than he was a no-nonsense military general who vanquished the Confederate Army in 1865.   I had also assumed that he was a lifelong drunk and an inept, corrupt president.

Now, I’d rank Grant as one of the greatest, most principled leaders in US history, an underrated president given short shrift by historians.
 
Distilling his accomplishments, Grant devised, led and executed the military strategy that preserved the Union.   After the war, Grant’s leadership helped bound the country together again. 
    
As president, he championed the fifteenth amendment establishing voting rights for African-Americans, won a war against the Ku Klux Klan during Reconstruction and deftly navigated the country through one of the worst economic depressions in history.  
 
After alcohol problems derailed his military career before the Civil War, Grant was disciplined enough to manage his alcoholism for the rest of his remarkable career and life.

While his presidency was indeed rife with corruption, Grant was guilty of having a really bad judge of character.   Eventually, Grant’s naivety and judgment led to one of the most infamous investment fraud events in history.

The Grant & Ward fraud debacle was the foremost financial scandal of the nineteenth century.  After Grant unsuccessfully ran for a third presidential term in 1880, he embarked on a two-year world tour.  Running low of money, he returned to the US and joined his son Buck’s new Wall Street brokerage business, who had partnered with a swindler named Ferdinand Ward to form Grant & Ward.  
 
Grant personally invested $100,000 with Ward, who was by then running a classic Ponzi scheme, fraudulently paying outsized cash distributions to existing investors using new client’s investment capital.  Ward traded on Grant’s good name and the buzz from early investors led to a rush of new investment business.   As the scheme ballooned, Ward was forced to borrow large sums from banks to fund investor pay-outs, pledging the same investment securities multiple times.
 
When the scheme first showed signs of stress, Ward convinced Grant to borrow $150,000 from railroad baron Cornelius Vanderbilt to keep the firm afloat.   It was for naught as the scheme and the firm went down in flames in 1884, destroying all client’s investment accounts and leaving Grant financially destitute. 
 
Historians believe Grant was duped by Ward about the scheme, the verdict is uncertain about his son’s involvement.

Only Grant’s highly successful memoir, published by Mark Twain, repaid his debts and provided for his wife after his premature death from throat cancer in 1885. 
  
The most spectacular form of investment fraud is the Ponzi scheme, named after the swindler Charles Ponzi.  He was an Italian immigrant who swindled investors out of $20 million in the 1920s - that’s real money today.   But the Ponzi scheme of all schemes was pulled off by Bernie Madoff, who swindled $65 billion of investor capital before crashing in December, 2008.

What was noteworthy about Madoff was not only the magnitude of his scheme, but his ability to dupe clients for so many years via the sustained flow of new client money.
 
By the end, it was considered fashionable among the upper crust to have investments managed by Madoff.   Unfortunately, these naïve dolts convinced scores of charities to invest their endowment capital with Madoff and it ended tragically for many of them. 
 
What is so sad were the obvious signs that something was amiss with Madoff’s investment program.   First and foremost, Madoff promised his clients a 1% monthly return on their invested capital due to his “proprietary” investment process.  Talk about a suspension of disbelief!

I actually saw a copy of a sample Madoff client investment account statement after the crash.  The statement was so un-professional looking it almost appeared hand-typed.

The point is that although the main reason Madoff’s Ponzi scheme sustained itself for so long was social-psychological reasons, another key reason was that Madoff served as the custodian of the firm’s client investment accounts, which enabled him to concoct fake client account statements at will.
  
On a smaller scale, the investment advice profession gets tarnished every time you read about another financial advisor busted for a fraudulent investment scheme improperly using client investments.  It happens too often.

However, the reality is that investors can greatly reduce their risk from bad advisor behavior by using good common sense and some best practices, which I have enumerated below:

• Never invest with a advisor solely because of their social circles or based on your brother-in-law’s endorsement.  Be objective and do your homework.

• Understand the advisor’s investment process and maintain a healthy skepticism about any promise or guarantee of future investment return.  Make the advisor explain how your money is being managed.

• Know the firm that is serving as custodian of your investment assets.  A third-party custodian that produces independent account statements provides confidence about the market value of your investment holdings and account activity.

• Don’t write checks payable to an advisor or their firm.   Investment checks should be payable to the third-party custodian.

• Occasionally check on your current advisor and research prospective ones.  If licensed, visit www.brokercheck.org and type in their name to see their profile, including past client complaints and / or regulatory actions, all of which is public record.

• If the advisor is with a registered investment advisory firm (“RIA”), they are regulated either by the state or the SEC.  Review the RIA’s Form ADV to learn about any past client complaints and /or regulatory sanctions, all of which is also public record.

• Review your account statements on occasion and look for unusual activity.
 
• Understand the advisor’s outside business activities, which is also public record.  Where is the advisor spending most of their time?

• Choose an advisor that holds him/her self out as a fiduciary.

Now, don’t tackle me at the door with accusations at our next investment review meeting, but do ask many questions and see if you like our answers.
 
Until next time, be well….Tim

www.harvrock.com",2018-11-09T19:19:20+0000,Harvest Rock Advisors,0,99,0,999,0.02253,Maryland,0.97747,Pennsylvania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"There you have it...a truthful admission from the former Grand Wizard of the KKK. If this doesn’t motivate people to the polls to put a check on Trump, nothing will!!!🤔😱🤮😡

“David Ernest Duke is an American white supremacist, white nationalist politician, white separatist, antisemitic conspiracy theorist, Holocaust denier, convicted felon, and former Grand Wizard of the Ku Klux Klan. Wikipedia”",2018-11-05T16:14:55+0000,Concerned Citizen,0,99,1000,4999,0.022651,Alabama,0.046141,Pennsylvania,0.003356,New Hampshire,0.020134,New Jersey,0.009228,New Mexico,0.033557,New York,0.03104,North Carolina,0.001678,North Dakota,0.061242,Ohio,0.012584,Oklahoma,0.018456,Oregon,0.001678,Rhode Island,0.006711,Nebraska,0.015101,South Carolina,0.005872,South Dakota,0.034396,Tennessee,0.083054,Texas,0.004195,Utah,0.001678,Vermont,0.031879,Virginia,0.02349,Washington,0.006711,West Virginia,0.018456,Wisconsin,0.003356,Nevada,0.000839,Montana,0.000839,Alaska,0.046141,Illinois,0.009228,Arizona,0.018456,Arkansas,0.068792,California,0.009228,Colorado,0.010067,Connecticut,0.002517,District of Columbia,0.050336,Florida,0.03104,Georgia,0.005872,Hawaii,0.005034,Idaho,0.041107,Indiana,0.02349,Missouri,0.014262,Iowa,0.021812,Kansas,0.020973,Kentucky,0.015101,Louisiana,0.004195,Maine,0.013423,Maryland,0.016779,Massachusetts,0.04698,Michigan,0.00755,Minnesota,0.017617,Mississippi,0.001678,Wyoming,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"I am calling for the resignation of Milpitas City Councilmember Anthony Phan. He is responsible for the hate mailer associating me with with the Communist Vietnamese government. It’s just as extreme as if it were the Ku Klux Klan or the Nazi’s, in the Vietnamese American refugee community. 

My mother fled war torn Communist Vietnam and risked her life at sea on a rickety boat. Her sister passed away on the journey. My mother was fortunate to be rescued at sea and through the United Nations was able to safely arrive to the United States. This hate mail cannot be anymore painful for my family. 

What hurts even more, is that I’m actually a member of the United States Armed Forces, swearing my life away to protect and serve our country. Councilmember Anthony Phan has no regard or honor for others, all so he can forward his political agenda with my opponent Bob Nunez. 

My campaign manager will be contacting the City Clerk this week to investigate where the tens of thousands of dollars came from, that funded enough mail to cover Milpitas. This special interest is not registered on the city website and there is no documentation to be found. That would be illegal. 

I’m calling for Councilmember Anthony Phan to put in his resignation. I’m calling for leaders across Milpitas to condemn Councilmember Anthony Phan’s hateful actions. If there is no resignation, there will be a recall. 
Vietnamese American Roundtable
Rep. Ro Khanna
Bob Wieckowski
Assemblymember Kansen Chu",2018-11-04T16:38:58+0000,Re-Elect Mayor Rich Tran 2018 FPPC #1400416,100,499,10000,49999,1,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NEW Podcast: Award winning historian, author, and NYU professor Linda Gordon joins the podcast to discuss her nationally acclaimed book, ""The Second Coming of the KKK: The Ku Klux Klan of the 1920s and the American Political Tradition."" Ben and Linda also discuss the staggering political and social power the Klan had in middle America, how the Klan was organized as a pyramid scheme, how racism thrives on conspiracy theories, and white backlash in America.

iTunes: https://itunes.apple.com/us/podcast/full-disclosure-with-ben-nakhaima/id1341109276?mt=2#episodeGuid=3e0a7c960cc146eea66f1408baec53ba

Spotify: https://open.spotify.com/episode/4QC3uSTNzzswA7vT2mpE8P

Make sure to give us 5 stars, tell your friends about the podcast, and SUBSCRIBE!",2018-11-04T13:32:16+0000,Full Disclosure with Ben Nakhaima,0,99,1000,4999,1,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"My followers of sorts frequently reminded that slavery and racism are history when I write about it on this blog.  They have said that we can’t fix history and we need to write about things that are more current and to not keep dredging up something that happens a couple centuries ago.  So, with the help of the Equal Justice Initiative, here are some current events that have an Anniversary in November and December.  

November 2, 2004, Alabama voters reject a constitutional amendment that would have officially desegregated Alabama schools.  Law makers said that they like to keep the segregated schools for “white and colored children” laws on the books just in case. 

November 3, 2000, Alabama finally repeals the 1901 state constitutional ban on interracial marriages.  However, the majority of white voters were against the repeal. 

November 15, 2010, former police officer James Bonnard Fowler pleads guiltily to the 1965 murder of civil rights activist Jimmie Lee Jackson in Marion Alabama. He was given a six month sentence.  

November 16, 2015, Texas history textbooks depicted enslaved people as “workers from Africa” rather than slaves. State law makers reject the call to change the textbooks and fact check the history recorded within.

November 18, 1983, James Cody is beaten, electrocuted, and threatened with castration by officers of the Chicago police department, that systematically tortured more than a hundred black men over thirty years. 

November 19, 1988, Judge in Dallas Texas gives reduced sentence to white student for targeting and killing two gay men.  He likened them to prostitutes and refused to give someone a life sentence for killing a prostitute. 

November 23, 2014, Tamil Rice, a black 12 year old boy, dies after being shot by the police for playing with a toy gun in a park by his home in Cleveland OH.  

November 26, 2016, Southern Poverty Law Center reports 400 physical and verbal attacks and incidents of intimidation and harassment of women, Muslims, immigrants, and African Americans since Trumps election.  

November 27, 1995, Criminologists predict a black youth crime wave calling them “super-predators” leading to laws that expose thousands of black kids to adult prosecution. 

December 10, 2008, Police officers in Shenandoah, PA face federal charges for covering up murder of Mexican immigrant Luis Ramirez by white teens spewing racial slurs.  

December 22, 2013, Federal court in Alabama upholds a redistricting plan designed by Republicans that reduces black voting power.  

Ok, now for an older historic events that should be mentioned

November 22, 1865, (Thanksgiving Day in 2018) just a couple of weeks before the 13th amendment was ratified, Mississippi requires local sheriffs to round up black orphans and sell them to whites as laborers. 

December 24, 1865, Christmas Eve, a group of Confederate Army veterans establishes the Ku Klux Klan in Pulaski, Tennessee.   

Here is another interesting event that I found that had an anniversary in October.

October 24, 2012, U.S. Justice Department files civil rights lawsuit against Meridian Mississippi officials for incarcerating black and disable children for dress code violations and talking back to teachers.  

It doesn’t look to me like slavery and racist practices are a thing of long past history.  It is still right in front of us.  I am not using the race card but showing the entire deck is stacked.  Thoughts?",2018-11-03T17:45:56+0000,A Call for Reparations and K. Kinnamont,0,99,1000,4999,1,Maryland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RON STALLWORTH ENDORSEMENT FOR REP. PETER SVARZBEIN FOR DISTRICT 1: 

Ron Stallworth, known as The Black Klansman, helped unravel injustices in our nation. As a police officer, he infiltrated the Ku Klux Klan and shed light on the situation. As an El Pasoan, his life and heroism serve as inspiration for progress and equality. 

When we sat down to speak with him about his views and ideas for our city. Ron was excited about where El Paso is headed and he fully supports Rep Peter Svarzbein for re-election. 

Ron believes Peter is doing an amazing job and wants that success to continue. He knows Peter has served his district to the best of his abilities; knowledge, creativity, heart and dedication. Ron is asking for your support for Peter too! 

Please, vote for Peter Svarzbein for District 1. Let's continue to move to El Paso forward! 

Early voting ends November 2th. Election Day is Tuesday November 6th. 

For more information: 
www.PeterForDistrict1.com

#peterfordistrict1 #petersvarzbein #lovemycity #lovemydistrict #grateful #publicservant 

(Photographer disclaimer: All photographs and videos appearing on this site/social media account are the property of Peter for District 1. They are protected by U.S. Copyright Laws, and are not to be downloaded or reproduced in any way without the written permission of Peter for District 1. Copyright 2018 Peter for District 1 All Rights Reserved.)",2018-11-02T00:00:47+0000,Peter for District 1,100,499,10000,49999,0.000828,Chihuahua,0.047084,New Mexico,0.952088,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RON STALLWORTH ENDORSEMENT FOR REP. PETER SVARZBEIN FOR DISTRICT 1: 

Ron Stallworth, known as The Black Klansman, helped unravel injustices in our nation. As a police officer, he infiltrated the Ku Klux Klan and shed light on the situation. As an El Pasoan, his life and heroism serve as inspiration for progress and equality. 

When we sat down to speak with him about his views and ideas for our city. Ron was excited about where El Paso is headed and he fully supports Rep Peter Svarzbein for re-election. 

Ron believes Peter is doing an amazing job and wants that success to continue. He knows Peter has served his district to the best of his abilities; knowledge, creativity, heart and dedication. Ron is asking for your support for Peter too! 

Please, vote for Peter Svarzbein for District 1. Let's continue to move to El Paso forward! 

Early voting ends November 2th. Election Day is Tuesday November 6th. 

For more information: 
www.PeterForDistrict1.com

#peterfordistrict1 #petersvarzbein #lovemycity #lovemydistrict #grateful #publicservant 

(Photographer disclaimer: All photographs and videos appearing on this site/social media account are the property of Peter for District 1. They are protected by U.S. Copyright Laws, and are not to be downloaded or reproduced in any way without the written permission of Peter for District 1. Copyright 2018 Peter for District 1 All Rights Reserved.)",2018-11-01T19:18:19+0000,Peter for District 1,0,99,0,999,0.08243,New Mexico,0.91757,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Former Ku Klux Klan (KKK) leader David Duke has endorsed far-right Brazilian presidential candidate Jair Bolsonaro, saying the former army captain “sounds like one of us.”",2018-10-23T02:41:10+0000,People's World,0,99,0,999,0.022148,Alabama,0.005537,Rhode Island,0.005537,New Hampshire,0.012182,New Jersey,0.009967,New Mexico,0.037652,New York,0.017719,North Carolina,0.054264,Ohio,0.014396,Oklahoma,0.014396,Oregon,0.037652,Pennsylvania,0.006645,South Carolina,0.00443,Nebraska,0.003322,South Dakota,0.033223,Tennessee,0.109635,Texas,0.007752,Utah,0.001107,Vermont,0.026578,Virginia,0.022148,Washington,0.007752,West Virginia,0.016611,Wisconsin,0.005537,Nevada,0.008859,Montana,0.003322,Alaska,0.044297,Illinois,0.023256,Arizona,0.012182,Arkansas,0.088594,California,0.009967,Colorado,0.007752,Connecticut,0.091916,Florida,0.035437,Georgia,0.005537,Hawaii,0.00443,Idaho,0.032115,Indiana,0.026578,Missouri,0.013289,Iowa,0.00443,Kansas,0.018826,Kentucky,0.012182,Louisiana,0.003322,Maine,0.015504,Maryland,0.014396,Massachusetts,0.031008,Michigan,0.003322,Minnesota,0.012182,Mississippi,0.001107,Wyoming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DEMOCRATS. The party of the Ku Klux Klan

LIKE OUR PAGE and SHARE!!
#potus #trump #feelthebern #walkaway #choosecruz #democratsaredumb #resistancemovement #theresistance #democrats #msnbc #cnn #politics #occupydemocrats #republicans #foxnews #MAGA #history #politica",2018-10-22T19:38:32+0000,Society To End The Entitlement Mentality,0,99,0,999,0.016216,Alabama,0.102703,Ohio,0.010811,Virginia,0.005405,New Mexico,0.016216,New Hampshire,0.005405,Iowa,0.010811,Wisconsin,0.043243,Washington,0.005405,Utah,0.210811,Texas,0.010811,Tennessee,0.010811,South Carolina,0.054054,Pennsylvania,0.027027,Oregon,0.027027,North Carolina,0.021622,Arizona,0.027027,New York,0.005405,New Jersey,0.016216,Nevada,0.021622,Mississippi,0.043243,Michigan,0.010811,Maryland,0.010811,Maine,0.010811,Kentucky,0.048649,Georgia,0.064865,Florida,0.016216,Colorado,0.140541,California,0.005405,West Virginia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Democrats ....ugh. The party of the Ku Klux Klan.

LIKE OUR PAGE and SHARE!!
#potus #trump #feelthebern #walkaway #democratsaredumb #resistancemovement #theresistance #democrats #msnbc #cnn #politics #occupydemocrats #republicans #foxnews #MAGA #history #politica",2018-10-22T05:13:42+0000,Memes That Are Right,0,99,0,999,0.013158,Alabama,0.065789,New York,0.004386,West Virginia,0.048246,Washington,0.013158,Virginia,0.008772,Utah,0.171053,Texas,0.02193,Tennessee,0.013158,South Carolina,0.035088,Pennsylvania,0.030702,Oregon,0.057018,Ohio,0.035088,North Carolina,0.013158,New Mexico,0.039474,Arizona,0.039474,New Jersey,0.004386,New Hampshire,0.008772,Nevada,0.074561,Michigan,0.004386,Maryland,0.004386,Maine,0.004386,Louisiana,0.008772,Iowa,0.065789,Georgia,0.070175,Florida,0.008772,Colorado,0.122807,California,0.013158,Wisconsin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A reminder about what was flying over Senator Wesley Meredith’s home not so long ago:

Thu Apr 07, 2011
Pitts: Sure, you can fly Confederate flag, but why?

Myron B. Pitts

Sometimes, you have to see to believe.

On Monday, I drove by state Sen. Wesley Meredith’s house off Morganton Road on a tip he was flying the Confederate flag.

Sure enough, a version of the battle flag attached to the side of his home blew in the wind. The flag combined the familiar X of the rebel battle banner with the blue ""N.C."" field from the state flag.

Now, a man can do what he wants with his own property, within the law. And I have heard every conceivable defense for flying the racially charged rebel flag, a few of them reasonable.

But a state senator should know better.

I talked with Meredith, who was at the General Assembly in Raleigh on Wednesday, around noon.

He said the flag – which still was flying at that hour – belonged to his 16-year-old son, who initially had it on his truck.

He added: ""The reason he took that flag off his truck, he was going to a funeral for one of his black friends.""

His son removed the flag out of respect, then hung it at the house, Meredith said.

Meredith complained about living in a fishbowl.

""It was a youngster who had a flag on his truck,"" he said.

I don’t want to drag his son into this because responsibility rests with Meredith, who is not only a senator and public figure but the homeowner.

I asked him if he thought the flag sent the wrong message. He did not answer directly but said: ""I never have believed in slavery. I don’t believe in slavery in any way, shape or form.""

Of course not. But his comment shows he knows how the flag is perceived by some and yet still chose to let it continue flying.

He knows many black Americans consider the flag as representing hate, not just heritage, despite what apologists for the Confederacy say. He also knows the city in which he lives is 43 percent black, and his senate district includes many blacks in Cumberland and Bladen counties.

Perception counts.

Some people, fairly or not, will take a fresh look at Meredith’s motives in sponsoring legislation such as the Voter ID bill, which critics have said would hurt minority voting.

And blacks are not the only ones who view the rebel flag skeptically.

Many transplants here from elsewhere are not fans, seeing the flag as backward and frankly wondering why folks would celebrate a military defeat.

I tell non-Southerners: It’s complicated.

The Southern rock band Drive-By Truckers calls it the ""duality of the Southern thing"" – how the same fertile land can nurture civil rights champions such as Martin Luther King Jr. and inveterate racists such as Confederate Gen. Nathan Bedford Forrest, whose Ku Klux Klan chose the rebel battle flag as a symbol.

Back in the day, I played Dixie Youth baseball in a nearly all-black league, and we thought nothing of the patches on our sleeves that featured the rebel flag prominently. In fact, I so liked the Dixie Youth logo, I pasted a sticker of it on my bedroom window.

Those days are gone.

A co-worker of mine from South Carolina said, ""It probably didn’t bother people then, but I think it’s probably good we’re not doing that anymore.""

Well, most of us aren’t.

Copyright 2011  – The Fayetteville Observer,",2018-10-10T01:50:30+0000,Cape Fear Indivisible,0,99,1000,4999,1,North Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
