ad_creative_body,ad_delivery_start_time,funding_entity,spend/lower_bound,spend/upper_bound,impressions/lower_bound,impressions/upper_bound,region_distribution/0/percentage,region_distribution/0/region,region_distribution/1/percentage,region_distribution/1/region,region_distribution/2/percentage,region_distribution/2/region,region_distribution/3/percentage,region_distribution/3/region,region_distribution/4/percentage,region_distribution/4/region,region_distribution/5/percentage,region_distribution/5/region,region_distribution/6/percentage,region_distribution/6/region,region_distribution/7/percentage,region_distribution/7/region,region_distribution/8/percentage,region_distribution/8/region,region_distribution/9/percentage,region_distribution/9/region,region_distribution/10/percentage,region_distribution/10/region,region_distribution/11/percentage,region_distribution/11/region,region_distribution/12/percentage,region_distribution/12/region,region_distribution/13/percentage,region_distribution/13/region,region_distribution/14/percentage,region_distribution/14/region,region_distribution/15/percentage,region_distribution/15/region,region_distribution/16/percentage,region_distribution/16/region,region_distribution/17/percentage,region_distribution/17/region,region_distribution/18/percentage,region_distribution/18/region,region_distribution/19/percentage,region_distribution/19/region,region_distribution/20/percentage,region_distribution/20/region,region_distribution/21/percentage,region_distribution/21/region,region_distribution/22/percentage,region_distribution/22/region,region_distribution/23/percentage,region_distribution/23/region,region_distribution/24/percentage,region_distribution/24/region,region_distribution/25/percentage,region_distribution/25/region,region_distribution/26/percentage,region_distribution/26/region,region_distribution/27/percentage,region_distribution/27/region,region_distribution/28/percentage,region_distribution/28/region,region_distribution/29/percentage,region_distribution/29/region,region_distribution/30/percentage,region_distribution/30/region,region_distribution/31/percentage,region_distribution/31/region,region_distribution/32/percentage,region_distribution/32/region,region_distribution/33/percentage,region_distribution/33/region,region_distribution/34/percentage,region_distribution/34/region,region_distribution/35/percentage,region_distribution/35/region,region_distribution/36/percentage,region_distribution/36/region,region_distribution/37/percentage,region_distribution/37/region,region_distribution/38/percentage,region_distribution/38/region,region_distribution/39/percentage,region_distribution/39/region,region_distribution/40/percentage,region_distribution/40/region,region_distribution/41/percentage,region_distribution/41/region,region_distribution/42/percentage,region_distribution/42/region,region_distribution/43/percentage,region_distribution/43/region,region_distribution/44/percentage,region_distribution/44/region,region_distribution/45/percentage,region_distribution/45/region,region_distribution/46/percentage,region_distribution/46/region,region_distribution/47/percentage,region_distribution/47/region,region_distribution/48/percentage,region_distribution/48/region,region_distribution/49/percentage,region_distribution/49/region,region_distribution/50/percentage,region_distribution/50/region,region_distribution/51/percentage,region_distribution/51/region,region_distribution/52/percentage,region_distribution/52/region,region_distribution/53/percentage,region_distribution/53/region,region_distribution/54/percentage,region_distribution/54/region,region_distribution/55/percentage,region_distribution/55/region,region_distribution/56/percentage,region_distribution/56/region,region_distribution/57/percentage,region_distribution/57/region,region_distribution/58/percentage,region_distribution/58/region,region_distribution/59/percentage,region_distribution/59/region,region_distribution/60/percentage,region_distribution/60/region,region_distribution/61/percentage,region_distribution/61/region,region_distribution/62/percentage,region_distribution/62/region,region_distribution/63/percentage,region_distribution/63/region,region_distribution/64/percentage,region_distribution/64/region,region_distribution/65/percentage,region_distribution/65/region,region_distribution/66/percentage,region_distribution/66/region,region_distribution/67/percentage,region_distribution/67/region,region_distribution/68/percentage,region_distribution/68/region,region_distribution/69/percentage,region_distribution/69/region,region_distribution/70/percentage,region_distribution/70/region,region_distribution/71/percentage,region_distribution/71/region,region_distribution/72/percentage,region_distribution/72/region,region_distribution/73/percentage,region_distribution/73/region,region_distribution/74/percentage,region_distribution/74/region,region_distribution/75/percentage,region_distribution/75/region,region_distribution/76/percentage,region_distribution/76/region,region_distribution/77/percentage,region_distribution/77/region,region_distribution/78/percentage,region_distribution/78/region,region_distribution/79/percentage,region_distribution/79/region,region_distribution/80/percentage,region_distribution/80/region,region_distribution/81/percentage,region_distribution/81/region,region_distribution/82/percentage,region_distribution/82/region
"Sign the petition to demand equal pay for the U.S. women’s national soccer team! The women have just won their 4th World Cup trophy 🏆🏆🏆🏆, while the last time the men’s team made it to a semifinal was in 1930. And the women’s team has brought in more revenue than the men’s team in the last 3 years. It’s an outrage the women are paid just one-fifth of what the U.S. men’s team is.",2019-07-09T17:25:36+0000,MoveOn.org Civic Action.,0,99,0,999,0.333333,Arizona,0.333333,Michigan,0.333333,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sign the petition to demand equal pay for the U.S. women’s national soccer team! The women have just won their 4th World Cup trophy 🏆🏆🏆🏆, while the last time the men’s team made it to a semifinal was in 1930. And the women’s team has brought in more revenue than the men’s team in the last 3 years. It’s an outrage the women are paid just one-fifth of what the U.S. men’s team is.",2019-07-09T17:25:25+0000,MoveOn.org Civic Action.,0,99,0,999,0.25,Florida,0.25,Georgia,0.25,Indiana,0.25,Kansas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sign the petition to demand equal pay for the U.S. women’s national soccer team! The women have just won their 4th World Cup trophy 🏆🏆🏆🏆, while the last time the men’s team made it to a semifinal was in 1930. And the women’s team has brought in more revenue than the men’s team in the last 3 years. It’s an outrage the women are paid just one-fifth of what the U.S. men’s team is.",2019-07-09T17:25:09+0000,MoveOn.org Civic Action.,0,99,0,999,0.111111,Arizona,0.111111,California,0.222222,Idaho,0.111111,Illinois,0.111111,Louisiana,0.111111,North Carolina,0.111111,Texas,0.111111,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sign the petition to demand equal pay for the U.S. women’s national soccer team! The women have just won their 4th World Cup trophy 🏆🏆🏆🏆, while the last time the men’s team made it to a semifinal was in 1930. And the women’s team has brought in more revenue than the men’s team in the last 3 years. It’s an outrage the women are paid just one-fifth of what the U.S. men’s team is.",2019-07-09T17:25:01+0000,MoveOn.org Civic Action.,0,99,0,999,0.142857,Florida,0.142857,Indiana,0.142857,Maryland,0.142857,Oregon,0.142857,Texas,0.142857,Vermont,0.142857,Virginia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sign the petition to demand equal pay for the U.S. women’s national soccer team! The women have just won their 4th World Cup trophy 🏆🏆🏆🏆, while the last time the men’s team made it to a semifinal was in 1930. And the women’s team has brought in more revenue than the men’s team in the last 3 years. It’s an outrage the women are paid just one-fifth of what the U.S. men’s team is.",2019-07-09T17:24:53+0000,MoveOn.org Civic Action.,0,99,0,999,0.117647,California,0.058824,Connecticut,0.117647,Florida,0.058824,Georgia,0.058824,Illinois,0.058824,New York,0.058824,North Carolina,0.117647,Oregon,0.117647,Texas,0.058824,Virginia,0.058824,Arizona,0.058824,Nevada,0.058824,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sign the petition to demand equal pay for the U.S. women’s national soccer team! The women have just won their 4th World Cup trophy 🏆🏆🏆🏆, while the last time the men’s team made it to a semifinal was in 1930. And the women’s team has brought in more revenue than the men’s team in the last 3 years. It’s an outrage the women are paid just one-fifth of what the U.S. men’s team is.",2019-07-09T17:24:42+0000,MoveOn.org Civic Action.,0,99,0,999,0.1875,Florida,0.0625,Maryland,0.0625,New Mexico,0.125,North Carolina,0.0625,Vermont,0.125,Washington,0.125,California,0.0625,Delaware,0.125,Oregon,0.0625,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sign the petition to demand equal pay for the U.S. women’s national soccer team! The women have just won their 4th World Cup trophy 🏆🏆🏆🏆, while the last time the men’s team made it to a semifinal was in 1930. And the women’s team has brought in more revenue than the men’s team in the last 3 years. It’s an outrage the women are paid just one-fifth of what the U.S. men’s team is.",2019-07-09T17:24:26+0000,MoveOn.org Civic Action.,0,99,0,999,1,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sign the petition to demand equal pay for the U.S. women’s national soccer team! The women have just won their 4th World Cup trophy 🏆🏆🏆🏆, while the last time the men’s team made it to a semifinal was in 1930. And the women’s team has brought in more revenue than the men’s team in the last 3 years. It’s an outrage the women are paid just one-fifth of what the U.S. men’s team is.",2019-07-09T17:24:19+0000,MoveOn.org Civic Action.,0,99,0,999,1,"Washington, District of Columbia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SONG OF THE DAY – July 9
SARAH JONES – “Your Revolution”

Alice Paul, a leader of the women’s suffrage movement and who helped draft what became the proposed Equal Rights Amendment to the US Constitution, died on this day in 1977 at the age of 92 in Moorestown, NJ.  

(From Onthisdeity.com) 

At 29, she instigated a campaign dedicated to the passage of a constitutional amendment for women’s suffrage and went head-to-head with the federal government and President Woodrow Wilson. She played a pivotal role in bringing about the passage of the 19th amendment in 1919, but what this decisive moment in America’s development owes to Alice Paul’s militancy is often criminally overlooked because history has adopted a less controversial narrative of the women’s suffrage movement.

Alice understood that for a federal campaign to succeed, it needed to have the support of the president. She got his full attention when she staged a suffrage procession of some 8,000 strong in Washington D.C. on the eve of Woodrow Wilson’s 1913 inauguration. Though Alice had done her part to organise a peaceful march, an unruly crowd assaulted the suffragists while police stood by and did nothing. The next day, Alice Paul stole Wilson’s inaugural thunder when news of the near-riot made headlines. Over the next four years, she would become one of the prickliest thorns in the 
president’s side.

In January 1917, on the eve of America’s involvement in the First World War, she stationed members in front of the White House. No American – male or female – had ever before conceived of this now time-honoured protest tactic. Alice Paul was the first.

When Alice unveiled her banner indicting “Kaiser Wilson” for hypocrisy in fighting an overseas war for democracy while 20,000,000 American women remained disenfranchised, a group of soldiers tore the “treacherous” banners to shreds and violently attacked the female picketers. Instead of arresting the attackers, the police arrested the women for “obstructing traffic”. 168 suffragists were sent to jail – most of them to a former men’s prison with male guards and open toilets, rotten food and dirty sheets. In an attempt to discredit Alice Paul, she was declared insane and placed in a psychiatric prison. Demanding to be recognised as political prisoners, Alice and many others went on hunger strike and were subsequently subjected to brutal forced-feedings. Then, on 15th November 1917, some forty guards with clubs went on a rampage, terrorising thirty-three jailed suffragists. They beat, grabbed, dragged, choked, slammed, pinched, twisted, and kicked the defenceless women.

News of the so-called “Night of Terror” leaked out to newspapers, causing public outrage. The militants’ stubborn protests, however reviled they may have been, created a situation in which something had to be done. In January 1918, Woodrow Wilson publicly announced his support of woman suffrage. Two years later, the 19thamendment was finally ratified. Alice Paul’s militancy had worked.

For Alice Paul, however, the struggle did not end with the right to vote, which did not fully correct the fact that women were discriminated against: “The ballot is the symbol of a new status in human society, it is the greatest possible single step forward in the progress of women, but it does not in itself complete their freedom.” In 1923, Alice Paul drafted the Equal Rights Amendment – the final step in women’s struggle for full legal equality.",2019-07-09T11:08:37+0000,J Matthew Ash,0,99,0,999,0.009396,Colorado,0.02953,North Carolina,0.016107,Massachusetts,0.055034,Michigan,0.042953,Minnesota,0.018792,Missouri,0.008054,Montana,0.010738,Nevada,0.008054,New Hampshire,0.009396,New Jersey,0.004027,New Mexico,0.037584,New York,0.040268,Ohio,0.020134,Kentucky,0.01745,Oklahoma,0.028188,Oregon,0.028188,Pennsylvania,0.01745,South Dakota,0.022819,Tennessee,0.04698,Texas,0.002685,Utah,0.009396,Vermont,0.018792,Virginia,0.051007,Washington,0.014765,Maine,0.012081,Kansas,0.004027,Louisiana,0.033557,Arizona,0.012081,Maryland,0.004027,Mississippi,0.009396,Nebraska,0.004027,North Dakota,0.004027,Rhode Island,0.010738,South Carolina,0.006711,West Virginia,0.006711,Wyoming,0.034899,Alabama,0.001342,Alaska,0.01745,Arkansas,0.01745,Iowa,0.060403,California,0.002685,Connecticut,0.004027,Delaware,0.001342,"Washington, District of Columbia",0.04698,Florida,0.018792,Georgia,0.008054,Hawaii,0.012081,Idaho,0.041611,Illinois,0.040268,Indiana,0.01745,Wisconsin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"We are outraged, and we are better than this. Proceeds benefit Together Rising.",2019-07-09T05:06:41+0000,The Outrage,0,99,1000,4999,0.000912,Montana,0.008212,Oregon,0.008212,Nevada,0.002737,New Hampshire,0.033759,New Jersey,0.000912,New Mexico,0.111314,New York,0.021898,North Carolina,0.001825,North Dakota,0.029197,Ohio,0.00365,Oklahoma,0.061131,Pennsylvania,0.012774,Missouri,0.005474,Rhode Island,0.009124,South Carolina,0.025547,Tennessee,0.041971,Texas,0.007299,Utah,0.00365,Vermont,0.031022,Virginia,0.019161,Washington,0.000912,West Virginia,0.010036,Wisconsin,0.004562,Nebraska,0.030109,Minnesota,0.000912,South Dakota,0.011861,Georgia,0.005474,Alabama,0.00365,Alaska,0.016423,Arizona,0.001825,Arkansas,0.125912,California,0.021898,Colorado,0.020073,Connecticut,0.000912,Delaware,0.090328,"Washington, District of Columbia",0.038321,Florida,0.001825,Hawaii,0.023723,Michigan,0.001825,Idaho,0.046533,Illinois,0.010036,Indiana,0.007299,Iowa,0.008212,Kansas,0.00365,Kentucky,0.005474,Louisiana,0.001825,Maine,0.030109,Maryland,0.035584,Massachusetts,0.000912,Wyoming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PLEASE SHARE! A lot of work and collaboration went into these events:
See this post on our website with downloadable posters, flyers and with live links: https://wp.me/p76Khk-2wu
""LIGHTS FOR LIBERTY: Take part in a vigil for migrants July 12 - info on local and national events""

Lights for Liberty vigils, rallies and demonstration will be going on all over the country on Friday, July 12 to protest the conditions and circumstances that lead to human beings being kept in cages in horrific conditions.  Cape Cod, the Islands and Plymouth event details are below.

For locations across the county look here: lightsforliberty.org - note: these events are being organized with short notice and not all events are listed on the website. If you don't see a location near you and you are not in our area, check social media and local news to see if one has been organized.  If not you can organize an event: scroll to the bottom of this page to register an event.

Details from LightsforLiberty.com:

On Friday July 12th, 2019, Lights for Liberty: A Vigil to End Human Concentration Camps, will bring thousands of people to locations worldwide as well as to concentration camps across the country, into the streets and into their own front yards, to protest the inhumane conditions faced by migrants.
CAPE COD AND PLYMOUTH LOCATIONS:

Organizations across Cape Cod and the Islands have come together to coordinate events, to create an opportunity for everyone to participate in their community.  Times vary, choose a location and time that is best for you, or travel to more than one.  Let's have a huge turnout! Let's show our legislators and the press that we want changes for these migrants NOW.

From the local organizing coalition:

Cape Codders and Islanders are joining Lights for Liberty: A Vigil to End Human Detention Camps and thousands worldwide on July 12 to protest the cruelty and inhumanity perpetrated against asylum-seekers and refugees at the U.S.-Mexico border. Join us in protest, vigil and solidarity with the innocent children, adult and family detainees and in memory of those who have died seeking asylum.

Bring your families, friends, posters, water, and outrage to any of these sites:

BARNSTABLE  Vigil/Rally 4:30-6:00 PM
(You are welcome to join us at 3:30 to make signs!) UNITARIAN CHURCH OF BARNSTABLE, 3330 Main Street/Rt.6A, Barnstable Village, MA

BREWSTER  Rally/Vigil 4:30-6PM
First Parish Brewster Unitarian Universalist, 1969 Main St. (Rt. 6A), Contacts: Sue Fleming - uescape@comcast.net; Fran Schofield -fschofield@robertpaul.com

DENNIS  Vigil 6:30-9PM,
Dennis Town Hall, 685 MA-134 Contact: Nancy Davison - nancy.d1007@gmail.com

EASTHAM  Rally/Vigil 4:30-6PM
Windmill Park Green, Rt. 6 & Samoset Rd., Event Type - , Contact: Marcia Goffin - Mjgoffin10@gmail.com

EDGARTOWN  Vigil, 8:15 - 9:15 pm
Cannonball Park, Upper Main Street (park at the Edgartown School lot)
Contact: Carla Cooper - carlacoop@comcast.net

CHATHAM 9:30-11:00AM
TOWN HALL, 549 Main St.

FALMOUTH  Rally, 12 Noon-1PM
Peg Noonan Park, Main St. & Hamlin Ave., Contact: Sandy Faiman-Silva - sfaiman@aol.com

HARWICH  Rally/Vigil 7:30-9PM
Harwich Center, Rts. 124 & 39, Contact: Maria Rudden - mrudden@gmail.com

HYANNIS  Vigil 11AM-12PM
First Baptist Church, 486 Main St., Contact: Kate Epperly - drkateepperly@gmail.com

ORLEANS  Rally/Vigil 4:00-5:30PM
Orleans Village Green, Main St. & Rt. 28, Contact: Rod Macdonald - rodmac.ret@gmail.com

PLYMOUTH  Demonstration 4-6PM
Plymouth Rock, on the waterfront, Plymouth Harbor, Ma.

PROVINCETOWN  Vigil 9-10PM
Provincetown Town Hall, 260 Commercial Street, Contact: Reva Blau - revablau@mac.com

WELLFLEET Vigil 8:30-9:30PM
Wellfleet Town Hall, 300 Main St., Contact: Kathryn Smith - katiesmith1021@gmail.com

----------------------------

INFO: lightsforliberty.org | Cape Cod Coalition for Safe Communities - capesafecomm@gmail.com

Sponsors: Alliance for Immigration Justice, Am HaYam Havurah, Cape Cod Coalition for Safe Communities, Cape Cod Women for Change, Coalition for Social Justice, Engage Falmouth, First Parish Brewster Unitarian Universalist Social Justice Committee, Immigrant Ministries of First Baptist Hyannis, Indivisible Martha’s Vineyard, Indivisible Outer Cape, Lower Cape Indivisible, Move to Remove, Refugee Support Team of Nauset Interfaith Association, Interfaith Justice Committee of the Federated Church of Orleans, Supporting Women in Financial Transition, Upper Cape Women’s Coalition, Unitarian Universalist Fellowship of Falmouth, Waquoit Congregational Church",2019-07-09T01:12:37+0000,Cape Cod Women for Change,0,99,1000,4999,0.995958,Massachusetts,0.004042,Rhode Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Donald Trump’s attack on immigrants and asylum seekers knows no limits. From Border Patrol agents stripping children of their blankets and sleeping mats to outbreaks of lice and disease, the conditions of the camps detaining immigrant children are cruel and inhumane. 
That’s why we need to put an end to these camps once and for all.

Here’s what we’ll do with your help:

🏛🗽Organize a big wave of protests across the country this Tuesday, working with other allied organizations, while members of Congress are home for the July 4th holidays. 

💪🏽🆘 Work with partners on the ground to assist impacted communities. 

✊📢Spin up large-scale grassroots actions that can be deployed if needed. 

Help MoveOn combat the Trump Administration’s hateful policies and fight for immigrant children. Chip in $5 now - your donation matters.",2019-07-08T21:06:42+0000,MoveOn.org Civic Action,0,99,0,999,0.009709,Alabama,0.009709,Maryland,0.174757,California,0.006472,Connecticut,0.045307,Florida,0.006472,Georgia,0.038835,Illinois,0.012945,Indiana,0.009709,Kansas,0.012945,Louisiana,0.035599,Massachusetts,0.003236,West Virginia,0.045307,Michigan,0.022654,Minnesota,0.006472,New Hampshire,0.029126,New Jersey,0.055016,New York,0.02589,Oregon,0.087379,Texas,0.02589,Virginia,0.019417,Wisconsin,0.035599,Arizona,0.006472,Vermont,0.003236,Alaska,0.016181,North Carolina,0.029126,Colorado,0.003236,Delaware,0.009709,Idaho,0.006472,Iowa,0.022654,Kentucky,0.009709,Maine,0.016181,Missouri,0.006472,Montana,0.003236,Nevada,0.019417,Ohio,0.003236,Tennessee,0.02589,Oklahoma,0.019417,Pennsylvania,0.009709,South Carolina,0.003236,South Dakota,0.016181,Utah,0.029126,Washington,0.003236,Mississippi,0.003236,New Mexico,0.009709,North Dakota,0.006472,Wyoming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A year ago, when Trump was separating migrant children from their families at the U.S.-Mexico border, tens of thousands of MoveOn members rose up and forced Trump to end the horrific policy. Today, hundreds of immigrant children remain in concentration camps at the border, faced with illness and even death - in U.S. custody.

We have to keep fighting this outrage with action and put an end to this hateful practice. Chip in $5 now - your donation goes directly to the fight for protecting our immigrant youth.",2019-07-08T21:06:42+0000,MoveOn.org Civic Action,0,99,1000,4999,0.002121,Rhode Island,0.029339,Ohio,0.019441,Missouri,0.003888,Montana,0.004242,Nebraska,0.008837,Nevada,0.003888,New Hampshire,0.024037,New Jersey,0.010251,New Mexico,0.053022,New York,0.026158,North Carolina,0.001414,North Dakota,0.009191,Oklahoma,0.016614,Minnesota,0.025097,Oregon,0.035348,Pennsylvania,0.012018,South Carolina,0.014493,Tennessee,0.070696,Texas,0.020502,Utah,0.003888,Vermont,0.020148,Virginia,0.03959,Washington,0.02333,Wisconsin,0.003181,Mississippi,0.029692,Michigan,0.002828,South Dakota,0.057618,Florida,0.001767,West Virginia,0.007777,Alabama,0.004595,Alaska,0.026865,Arizona,0.005656,Arkansas,0.170025,California,0.023683,Colorado,0.013786,Connecticut,0.002121,Delaware,0.002474,"Washington, District of Columbia",0.018735,Georgia,0.028986,Massachusetts,0.005302,Hawaii,0.003888,Idaho,0.04065,Illinois,0.016967,Indiana,0.009897,Iowa,0.013786,Kansas,0.009544,Kentucky,0.007423,Louisiana,0.003888,Maine,0.009897,Maryland,0.001414,Wyoming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Donald Trump’s attack on immigrants and asylum seekers knows no limits. From Border Patrol agents stripping children of their blankets and sleeping mats to outbreaks of lice and disease, the conditions of the camps detaining immigrant children are cruel and inhumane. 
That’s why we need to put an end to these camps once and for all.

Here’s what we’ll do with your help:

🏛🗽Organize a big wave of protests across the country this Tuesday, working with other allied organizations, while members of Congress are home for the July 4th holidays. 

💪🏽🆘 Work with partners on the ground to assist impacted communities. 

✊📢Spin up large-scale grassroots actions that can be deployed if needed. 

Help MoveOn combat the Trump Administration’s hateful policies and fight for immigrant children. Chip in $5 now - your donation matters.",2019-07-08T20:28:51+0000,MoveOn.org Civic Action,0,99,0,999,0.003472,Hawaii,0.020833,New Mexico,0.006944,Arkansas,0.0625,New York,0.013889,North Carolina,0.003472,Rhode Island,0.006944,South Carolina,0.006944,Kansas,0.006944,Louisiana,0.010417,Maryland,0.027778,Michigan,0.069444,Texas,0.013889,Oklahoma,0.024306,Wisconsin,0.152778,California,0.065972,Florida,0.041667,Illinois,0.010417,Kentucky,0.024306,Massachusetts,0.038194,Oregon,0.03125,Washington,0.041667,Arizona,0.003472,West Virginia,0.034722,Ohio,0.017361,Connecticut,0.006944,Maine,0.003472,"Washington, District of Columbia",0.013889,Georgia,0.003472,Indiana,0.003472,Nebraska,0.006944,Vermont,0.020833,Virginia,0.003472,Alabama,0.003472,Alaska,0.003472,Delaware,0.003472,Mississippi,0.013889,Iowa,0.010417,New Hampshire,0.020833,Pennsylvania,0.017361,Utah,0.020833,Minnesota,0.020833,Missouri,0.003472,Montana,0.020833,New Jersey,0.003472,North Dakota,0.024306,Tennessee,0.006944,Idaho,0.024306,Colorado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A year ago, when Trump was separating migrant children from their families at the U.S.-Mexico border, tens of thousands of MoveOn members rose up and forced Trump to end the horrific policy. Today, hundreds of immigrant children remain in concentration camps at the border, faced with illness and even death - in U.S. custody.

We have to keep fighting this outrage with action and put an end to this hateful practice. Chip in $5 now - your donation goes directly to the fight for protecting our immigrant youth.",2019-07-08T20:28:51+0000,MoveOn.org Civic Action,0,99,1000,4999,0.00156,Delaware,0.032493,Pennsylvania,0.002859,Nebraska,0.008058,Nevada,0.004419,New Hampshire,0.018976,New Jersey,0.008058,New Mexico,0.073564,New York,0.020276,North Carolina,0.024435,Ohio,0.009618,Oklahoma,0.032233,Oregon,0.003899,Rhode Island,0.012477,Missouri,0.006499,South Carolina,0.0013,South Dakota,0.013777,Tennessee,0.143748,Texas,0.012737,Utah,0.00182,Vermont,0.016376,Virginia,0.035092,Washington,0.00208,West Virginia,0.009878,Wisconsin,0.004419,Montana,0.00208,Mississippi,0.00026,North Dakota,0.003899,Hawaii,0.005459,Alabama,0.003119,Alaska,0.021835,Arizona,0.004159,Arkansas,0.192358,California,0.026514,Colorado,0.008578,Connecticut,0.003899,"Washington, District of Columbia",0.051209,Florida,0.022355,Georgia,0.004419,Idaho,0.012737,Minnesota,0.028854,Illinois,0.011697,Indiana,0.004419,Iowa,0.005719,Kansas,0.007538,Kentucky,0.010138,Louisiana,0.004159,Maine,0.011697,Maryland,0.029374,Massachusetts,0.022355,Michigan,0.00052,Wyoming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A year ago, when Trump was separating migrant children from their families at the U.S.-Mexico border, tens of thousands of MoveOn members rose up and forced Trump to end the horrific policy. Today, hundreds of immigrant children remain in concentration camps at the border, faced with illness and even death - in U.S. custody.

We have to keep fighting this outrage with action and put an end to this hateful practice. Chip in $5 now - your donation goes directly to the fight for protecting our immigrant youth.",2019-07-08T20:28:51+0000,MoveOn.org Civic Action,500,999,50000,99999,0.004619,Alabama,0.004766,New Hampshire,0.002358,Delaware,0.018892,Georgia,0.004324,Idaho,0.007935,Iowa,0.008377,Kansas,0.006019,Maine,0.01899,Maryland,0.026016,Michigan,0.003218,Montana,0.005626,Nebraska,0.022479,New Jersey,0.004619,Arkansas,0.001277,North Dakota,0.028596,Ohio,0.007002,Oklahoma,0.034639,Pennsylvania,0.004029,Rhode Island,0.005012,South Carolina,0.013045,Tennessee,0.026557,Virginia,0.002899,West Virginia,0.001376,Mississippi,0.011571,Connecticut,0.01872,Wisconsin,0.004717,Alaska,0.037244,Massachusetts,0.02157,Arizona,0.16853,California,0.030684,Colorado,0.011055,"Washington, District of Columbia",0.038325,Florida,0.005675,Hawaii,0.043434,Illinois,0.013659,Indiana,0.008869,Kentucky,0.006633,Louisiana,0.023363,Minnesota,0.044122,Washington,0.017172,Missouri,0.007444,Nevada,0.008083,New Mexico,0.077632,New York,0.02582,North Carolina,0.032527,Oregon,0.001523,South Dakota,0.062916,Texas,0.010318,Utah,0.004447,Vermont,0.001277,Wyoming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
