,adID,adText,adSpend,adLP,adImpress,adClicks,adCreation,adLocation_cleaned,adStates,adDate
49,487,What is your type and why,300.0,https://www.facebook.com/brownunitedfront/,22633.0,3417.0,03/25/17 12:00:00 PM PDT,,,2017-03-25
50,490,Stop using this word for gods sake,300.0,https://www.facebook.com/brownunitedfront/,35322.0,4929.0,02/08/17 04:30:54 AM PST,,,2017-02-08
51,491,Do you like zoot suit style,300.0,https://www.facebook.com/brownunitedfront/,32189.0,5009.0,02/08/17 04:30:36 AM PST,,,2017-02-08
52,495,Speaks volumes,600.0,https://www.facebook.com/brownunitedfront/,39337.0,5321.0,03/10/17 03:09:18 AM PST,,,2017-03-10
53,503,Enough said,500.0,https://www.facebook.com/brownunitedfront/,39931.0,7609.0,03/15/17 11:30:00 AM PDT,,,2017-03-15
54,569,Black Americans have really different problems to face no white American canever experience in his own lifeWe have the same problems in our communities after the presidentialelections as we had beforeSo give no attention to what you are told by the media Get down to your ownbusinessSubscribe to our channelFollow my FacebookFollow me on InstagramFollow me on TwitterThe truth about blackand white problems,0.0,https://www.facebook.com/WilliamsandKalvin/,0.0,0.0,11/20/16 11:32:07 PM PST,,,2016-11-20
55,602,We were all humans until race disconnected us religion separated us politicsdivided us and wealth classified us,400.0,https://www.facebook.com/brownunitedfront/,34505.0,3682.0,03/18/17 08:08:05 AM PDT,,,2017-03-18
56,604,LIKE if youve ever felt that way,0.88,https://www.facebook.com/brownunitedfront/,1.0,0.0,,,,
57,606,Yes they are,658.17,https://www.facebook.com/brownunitedfront/,20156.0,2512.0,04/25/17 03-10-00 PM PDT,,,2017-04-25
58,607,A real man will put his family first,143.76,https://www.facebook.com/brownunitedfront/,282.0,28.0,04/26/17 07:37:35 AM PDT,,,2017-04-26
60,710,Colin Kaepernick is not just a talented football playerHe is one of the few who understands the real nature of thingsWe are black first of all and only then we are AmericansSo remember who you really areSubscribe to our channelFollow my FacebookFollow me on InstagramFollow me on Twitter,200.0,https://www.facebook.com/WilliamsandKalvin/,3554.0,161.0,12/09/16 11:03:17 PM PST,,,2016-12-09
61,711,Dylan Storm Roofs website hinted at why he chose historic Charleston toshoot nine people to death at Emanuel African Methodist Episcopal Church inSouth CarolinaAlong with a long hatefilled screed the yearold included photos ofhimself burning an American flag taking aim with a pistol and posing proudlyat sites connected to the ConfederacySubscribe to our channelFollow my FacebookFollow me on InstagramFollow me on TwitterThe Truth aboutpunishment and mercy,99.0,https://www.facebook.com/WilliamsandKalvin/,2424.0,142.0,04/17/17 02:01:42 AM PDT,,,2017-04-17
62,828,This is exactly what you feed needs,100.0,https://www.facebook.com/WiIIiamsandKalvin/,19391.0,3338.0,03/16/17 03:03:52 AM PDT,,,2017-03-16
63,829,Remember your roots,20.0,https://www.facebook.com/WiIIiamsandKalvin/,1361.0,269.0,04/15/17 02:43:52 AM PDT,,,2017-04-15
64,830,Explosion in Manchester ISIS attack in Marawi bomb attack in Bangkok carbombing in Syriaall happened in one day This is heartbreaking and we arepraying for everyoneDont you think that it is vicious cycle Now they will bomb more in Syria tostop terrorists And then another bombing here and there But these attackscant bring PeaceStop wasting money on weapons America you better stay away from thisand start taking care of your own people Within your own country,110.66,https://www.facebook.com/WiIliamsandKalvin/,60.0,5.0,05/28/17 07:52:35 AM PDT,,,2017-05-28
65,831,Blessings to all Syrian families,400.0,https://www.facebook.com/WiIIiamsandKalvin/,18975.0,2854.0,05/22/17 07:55 00 AM PDT,,,2017-05-22
66,834,IT HAS TO GO VIRAL,500.0,https://www.facebook.com/WiIIiamsandKalvin/,43230.0,6609.0,02/06/17 03:58:23 AM PST,,,2017-02-06
67,840,The kid makes us all proud Dont let anyone bring you down,100.0,https://www.facebook.com/WiIIiamsandKalvin/,4525.0,577.0,03/17/17 09- 13-00 PM PDT,,,2017-03-17
68,847,Nonviolence is a powerful and just weapon which cuts without wounding andennobles the man who wields it It is a sword that healsMartin Luther King JrSubscribe to our channelFollow my FacebookFollow me on InstagramFollow me on TwitterThe Truth about themost peaceful weapon,300.0,https://www.facebook.com/WiIIiamsandKalvin/,5071.0,85.0,04/20/17 08:32:54 AM PDT,,,2017-04-20
69,858,White people do everything to make Blacks think that we are not beautifulAnd first of all they want us believe that European standards of beauty arethe onlyBut let me tell you this BLACK IS BEAUTIFUL We just need to keep sayingand showing it them,100.0,https://www.facebook.com/WiIIiamsandKalvin/,10397.0,1884.0,04/17/17 02:01:07 AM PDT,,,2017-04-17
70,860,Haters gonna hate regardless,100.0,https://www.facebook.com/WiIIiamsandKalvin/,8958.0,1055.0,03/19/17 08-00-00 AM PDT,,,2017-03-19
71,2411,Montgomery County middle school kids have tasted the outrage of the publicafter a video of them chanting racist words went viral on Facebook furtherdeepening the agony of racism in schools today Montgomery County middleschool kids have tasted the outrage of the public after a video of themchanting racist words went viral on Facebook further deepening Racism InAmerican Schools Video Shows White Kids Chant NWord On School BusBM BM,0.0,https://blackmattersus.com/16579-racism-in-american-schools-video-shows-,0.0,0.0,09/29/16 05:39:01 AM PDT,,,2016-09-29
72,2413,Indiana jury awarded the man acompensation following a mistakenidentity case whereby cops entered his home without warrant and unlawfullyarrested him Back in JulyIndiana police came into the home of anyearold high school student DeShawn Franklin without a warrant wokehim up from his sleep wi Indiana Jury Gives Black ManCompensationAfter Unlawful Arrest I Black Matters BM,287.95,https://blackmattersus.com/14744-indiana-jury-gives-black-,248.0,19.0,09/01/16 12:08:51 AM PDT,,,2016-09-01
73,2452,Respect,200.0,https://www.facebook.com/blackmattersus.mvmnt/,17245.0,2806.0,03/24/17 02:24:22 AM PDT,,,2017-03-24
74,2453,Black woman are truly making history each day,100.0,https://www.facebook.com/blackmattersus.mvmnt,2289.0,481.0,03/24/17 02:25:14 AM PDT,,,2017-03-24
75,2456,Novemberwill mark the second anniversary of the Tamir Rices death Theyearold was carrying a toy airsoft gun when officer Timothy Loehmannshot him within two seconds of arriving on the scene A grand jury decided notindict the killerTamirs mother said she is mad as hell with the grand jurys decision ofdeclaring the officer not guilty She went on to say He was my bright andshining star He was full of light and laughter Tamir had the potential tobecome anything in the World but Officer Loehmann and Garmback didntgive him a chanceDue to the corrupt system Samaria Rice has a dead childHowever he will always live in our hearts Join us on Novemberto honorthe memory of Tamir and show support to his family Remember Tamir Rice,1.5,https://www.facebook.com/events/267467333650934/,3450.0,247.0,11/26/16 12:00:00 AM PST,,,2016-11-26
76,2457,Novemberwill mark the second anniversary of the Tamir Rices death Theyearold was carrying a toy airsoft gun when officer Timothy Loehmannshot him within two seconds of arriving on the scene A grand jury decided notindict the killerTamirs mother said she is mad as hell with the grand jurys decision ofdeclaring the officer not guilty She went on to say He was my bright andshining star He was full of light and laughter Tamir had the potential tobecome anything in the World but Officer Loehmann and Garmback didntgive him a chanceDue to the corrupt system Samaria Rice has a dead childHowever he will always live in our hearts Join us on Novemberto honorthe memory of Tamir and show support to his family Remember Tamir Rice,0.0,https://www.facebook.com/events/267467333650934/,0.0,0.0,11/26/16 12:00:00 AM PST,,,2016-11-26
77,2460,Do everything in your power to change the society we live in and fight toprotect our children,300.0,https://www.facebook.com/blackmattersus.mvmnt/,3689.0,500.0,10/03/16 04:43:25 AM PDT,,,2016-10-03
78,2463,Do everything in your power to change the society we live in and fight toprotect our children,0.0,https://www.facebook.com/blackmattersus.mvmnt/,0.0,0.0,10/03/16 04:43:25 AM PDT,,,2016-10-03
79,2465,A Sense Of Priorities,583.93,https://www.facebook.com/blackmattersus.mvmnt/,17566.0,2106.0,02/28/17 11:49:37 PM PST,,,2017-02-28
80,2479,Your help is needed This case is a classic example of racial profiling in thesystem which has cost innocent Jerome Smithyears of his life already andcan cost even more Jerome must be brought home No one pays attention tohim no one fights for his life Let us help this man achieve justice Please signthe petitionithFromLifeIm prison entskapp refs,0.0,https://www.facebook.com/blackmattersus.mvmnt/,0.0,0.0,09/29/16 08:22:39 AM PDT,,,2016-09-29
81,2480,Your help is needed This case is a classic example of racial profiling in thesystem which has cost innocent Jerome Smithyears of his life already andcan cost even more Jerome must be brought home No one pays attention tohim no one fights for his life Let us help this man achieve justice Please signthe petitionithFromLifeIm prison entskapp refs,0.0,https://www.facebook.com/blackmattersus.mvmnt/,0.0,0.0,09/29/16 08:22:39 AM PDT,,,2016-09-29
82,2506,Congratulations young lady,100.0,https://www.facebook.com/blackmattersus.mvmnt/,8231.0,1172.0,03/24/17 02:25:32 AM PDT,,,2017-03-24
83,2550,On December rd the KKK terrorist organization will host a victory parade inNorth Carolina to celebrate the election of Donald TrumpJoin us on Decin Marshall Park Charlotte as we voice our opposition tothe Klan demonstration their hateful agenda violence and oppressionCharlotte Against Hate,0.0,https://www.facebook.com/events/1795123670705170/,0.0,0.0,12/03/16 01:00:00 PM PST,,,2016-12-03
84,2551,The cop beat this man like he was a runaway slave,300.0,https://www.facebook.com/blackmattersus.mvmnt/,4655.0,313.0,10/03/16 04:47:13 AM PDT,,,2016-10-03
85,2552,The cop beat this man like he was a runaway slave,0.0,https://www.facebook.com/blackmattersus.mvmnt/,0.0,0.0,10/03/16 04:47:13 AM PDT,,,2016-10-03
86,2553,The cop beat this man like he was a runaway slave,0.0,https://www.facebook.com/blackmattersus.mvmnt/,0.0,0.0,10/03/16 04:47:13 AM PDT,,,2016-10-03
87,2554,The cop beat this man like he was a runaway slave,0.0,https://www.facebook.com/blackmattersus.mvmnt/,0.0,0.0,10/03/16 04:47:13 AM PDT,,,2016-10-03
88,2558,InJerome Smith was sentenced to life in prison for a crime he didntcommitThe prosecutor hid key evidence that goes to the heart of Jeromesinnocence untilyears after the trialNo jury ever saw or heard that evidence Jeromes attorneys were unable toprepare properly which hindered their defenseHELP BRING JEROME HOME ATTEND HIS JUVENILE SENTENCINGHEARINGOCTOBERAMOrleans Criminal District CourtTulane Ave New Orleans LA FreeJerome Skee Smith,0.0,https://www.facebook.com/events/1140553372667995/,0.0,0.0,10/03/16 05:16:53 AM PDT,,,2016-10-03
89,2571,The video is circulating across the internet allegedly depicting a white NYPDofficer raping a black yearold girl in a jail cell According to some sourcesthe incident took place in South Africa However there are some crucialpoints that are hidden from the society A shocking video went viral of an onduty white cop raping a young black teen in a jail collecting numerouscomments Firstly in the description box it was w Major mismatches in thestory of white cop rapingyo black girl I BM BM,0.0,https://www.facebook.com/blackmattersus.mvmnt/,0.0,0.0,10/03/16 07:58:31 AM PDT,,,2016-10-03
90,2594,Bernie for president,0.0,https://www.facebook.com/Born-Liberal-522628564598423/,0.0,0.0,06/08/16 05:53:54 AM PDT,,,2016-06-08
91,2603,AugustRepublican President Richard M Nixon resigned Withimpeachment proceedings underway against him for his involvement in theWatergate affair Nixon was finally bowing to pressure from the public andCongress to leave the White HouseMany people asked themselves How dare he to do thatThis is the awful part of our history however the similar actions still happenduring current campaign deleted emails accident with Bernie Sanders andthe DNC This is bad and nobody cares Does the political hypocrisy jump atthe high level nowadays,500.0,https://www.facebook.com/Born-Liberal-522628564598423/,1422.0,220.0,08/11/16 04:45:55 AM PDT,,,2016-08-11
92,2606,Lets say stop to police brutality We must be against racism of all kinds andmake a strong and peaceful responce to these,500.0,https://www.facebook.com/Born-Liberal-522628564598423/,1303.0,245.0,07/15/16 01:01 11 AM PDT,,,2016-07-15
93,2612,Using our tax money to bomb innocent people in Syria and the Middle Eastis terrorism tool,283.52,https://www.facebook.com/MuslimAmerica/,1500.0,175.0,05/21/17 10:24:00 AM PDT,,,2017-05-21
94,2614,HANDS OFF THE MIDDLE EAST,332.82,https://www.facebook.com/MuslimAmerica/,2242.0,303.0,05/20/17 11:24:00 AM PDT,,,2017-05-20
95,2636,Wake up people Its time to start governing and policing our own a Blackcommunity has been brainwashed until we cant understand our realproblems so we cant even try to fix them,11.23,https://www.facebook.com/BM-173996283023459/,294.0,29.0,11/12/16 04:49:45 AM PST,,,2016-11-12
96,2712,This is both amazing and heartbreaking,300.0,https://www.facebook.com/brownunitedfront/,14818.0,2073.0,04/22/17 03:18 00 PM PDT,,,2017-04-22
97,2716,Looks better than most new cars,300.0,https://www.facebook.com/brownunitedfront/,33706.0,4760.0,04/21/17 10:33:00 AM PDT,,,2017-04-21
98,2722,What do you usually choose,500.0,https://www.facebook.com/brownunitedfront/,18565.0,1927.0,04/22/17 12:09:42 AM PDT,,,2017-04-22
99,2723,Hollywood wants guys who can act toughHollywood dont want tough guysDanny Trejo,400.0,https://www.facebook.com/brownunitedfront/,31768.0,3613.0,04/15/17 11:00:01 AM PDT,,,2017-04-15
100,2724,Indigenous dancersMexico City,300.0,https://www.facebook.com/brownunitedfront/,37042.0,4851.0,04/23/17 10:46:00 AM PDT,,,2017-04-23
101,2726,Have you ever felt this way,6.03,https://www.facebook.com/brownunitedfront/,229.0,45.0,05/06/17 12:06 41 AM PDT,,,2017-05-06
102,2727,The history of liberty is a history of resistance,300.0,https://www.facebook.com/brownunitedfront/,14039.0,2064.0,04/21/17 09:32 00 AM PDT,,,2017-04-21
103,2728,Gorgeous print from cartoonist Lalo Alcaraz,200.0,https://www.facebook.com/brownunitedfront/,19376.0,2323.0,05/20/17 08:03 00 AM PDT,,,2017-05-20
104,2737,Have you ever passed through this lol,400.0,https://www.facebook.com/brownunitedfront/,28636.0,2920.0,03/22/17 09:30:00 AM PDT,,,2017-03-22
105,2739,Our women are the most powerful,200.0,https://www.facebook.com/brownunitedfront/,15590.0,2082.0,04/04/17 10:20:00 AM PDT,,,2017-04-04
106,2742,Remember of your heritage Art Jesus Helguera,200.0,https://www.facebook.com/brownunitedfront/,19729.0,2934.0,05/17/17 07:15:37 AM PDT,,,2017-05-17
107,2743,The sun loves us,55.56,https://www.facebook.com/brownunitedfront/,1315.0,160.0,04/23/17 06:23:00 PM PDT,,,2017-04-23
108,2745,Today wouldve been her th birthday and it is actually a real holiday inTexas called Selena Day,400.0,https://www.facebook.com/brownunitedfront/,24763.0,2938.0,04/19/17 07:39:45 AM PDT,,,2017-04-19
109,2751,Mexican women are the perfect mix of princess and warrior,200.0,https://www.facebook.com/brownunitedfront/,15233.0,1883.0,05/20/17 04:01:00 PM PDT,,,2017-05-20
110,2752,Uncle Sam says SHHH BE QUIET If this big guy gets up we got problems,100.0,https://www.facebook.com/brownunitedfront/,6366.0,820.0,04/20/17 08:23:00 AM PDT,,,2017-04-20
111,2753,So true,276.53,https://www.facebook.com/brownunitedfront/,15285.0,2151.0,04/14/17 07:48:53 AM PDT,,,2017-04-14
112,2754,Noel Gugliemi is just great,198.81,https://www.facebook.com/brownunitedfront/,21209.0,3404.0,03/29/17 10:22:00 AM PDT,,,2017-03-29
113,2755,Like if you do the same,200.0,https://www.facebook.com/brownunitedfront/,28647.0,3148.0,05/23/17 08:03:00 AM PDT,,,2017-05-23
114,2756,Our history is forever in our blood,200.0,https://www.facebook.com/brownunitedfront/,42304.0,6357.0,05/17/17 07:19:15 AM PDT,,,2017-05-17
115,2757,Nothing strange just Mexican chefs in a sushi restaurant in SanFranciscoSource,195.64,https://www.facebook.com/brownunitedfront/,3400.0,461.0,05/17/17 12:03:00 PM PDT,,,2017-05-17
116,2758,Like if you have one,400.0,https://www.facebook.com/brownunitedfront/,9392.0,1398.0,04/29/17 07:54:35 AM PDT,,,2017-04-29
117,2759,Like if you would print that on your shirt,200.0,https://www.facebook.com/brownunitedfront/,50241.0,6491.0,05/24/17 10:01:00 AM PDT,,,2017-05-24
118,2760,Unusual Mexican Altar found near Cuernavaca Mexico,200.0,https://www.facebook.com/brownunitedfront/,14082.0,1784.0,05/20/17 12:05:00 PM PDT,,,2017-05-20
119,2761,Would you buy it for your girlfriend,300.0,https://www.facebook.com/brownunitedfront/,12222.0,1332.0,05/19/17 08:05:00 AM PDT,,,2017-05-19
120,2763,Haha perfectly said,600.0,https://www.facebook.com/brownunitedfront/,64700.0,8484.0,05/11/17 05:27:28 AM PDT,,,2017-05-11
121,2764,I would,110.0,https://www.facebook.com/brownunitedfront/,44817.0,5897.0,05/06/17 12:06 23 AM PDT,,,2017-05-06
122,2765,Stand strong and keep fighting for your rights,300.0,https://www.facebook.com/brownunitedfront/,46008.0,7065.0,05/02/17 06:28:27 AM PDT,,,2017-05-02
123,2769,Keep calm and drive a lowrider,400.0,https://www.facebook.com/brownunitedfront/,23660.0,3644.0,04/29/17 07:53:22 AM PDT,,,2017-04-29
124,2772,Time to stop the ignorance,300.0,https://www.facebook.com/brownunitedfront/,30141.0,3804.0,04/22/17 07:35:00 AM PDT,,,2017-04-22
125,2773,Love that is earned is actually more stable,300.0,https://www.facebook.com/brownunitedfront/,34247.0,3621.0,04/17/17 01:00:01 PM PDT,,,2017-04-17
126,2774,This land is ours,300.0,https://www.facebook.com/brownunitedfront/,25001.0,2326.0,04/17/17 10:00 00 AM PDT,,,2017-04-17
127,2776,My parents crossed over the border with three little kids If they had to gothrough all that to bring me here I think I have to give backMelisa Simon,400.0,https://www.facebook.com/brownunitedfront/,26894.0,3905.0,03/27/17 08-58-00 AM PDT,,,2017-03-27
128,2777,Our creativity comes from the ancestors,400.0,https://www.facebook.com/brownunitedfront/,30198.0,4178.0,03/24/17 10:11:00 AM PDT,,,2017-03-24
129,2778,This lady is the one you shouldnt mess with,103.35,https://www.facebook.com/brownunitedfront/,6193.0,847.0,03/22/17 12:15:00 PM PDT,,,2017-03-22
130,2779,The most important thing in the world is to be yourself no matter what,0.0,https://www.facebook.com/brownunitedfront/,0.0,0.0,03/17/17 09:3&00 AM PDT,,,2017-03-17
131,2781,Did you know,84.97,https://www.facebook.com/brownunitedfront/,13582.0,1357.0,03/14/17 08:04 50 AM PDT,,,2017-03-14
132,2785,Selena in Los Angeles California,0.0,https://www.facebook.com/brownunitedfront/,0.0,0.0,03/14/17 06:56:24 AM PDT,,,2017-03-14
133,2800,Orgullo Mexicano,300.0,https://www.facebook.com/brownunitedfront/,30041.0,4088.0,02/03/17 01:24:24 AM PST,,,2017-02-03
134,2809,Community of people who support our brave heroes,315.41,https://www.facebook.com/Back-the-Badge-341177102896426/,351.0,43.0,"Interests: Police, Law enforcement or Police officer                                    And Must Also Match: Interests: The Thin Blue Line, National Police Wives                                    Association or Heroes Behind The Badge",,,
135,2812,Community of people who support our brave heroes,0.0,https://www.facebook.com/Back-the-Badge-341177102896426/,0.0,0.0,"Interests: State police, Law enforcement in the United                                    States, Police, Law enforcement or Police officer                                    And Must Also Match: Interests Support Law Enforcement, The Thin Blue                                    Line. Officer Down Memorial Page, The Thin Blue Line (emblem). Police                                    Wives Unite, National Police Wives Association or Heroes Behind The Badge",,,
136,2814,Community of people who support our brave Police Officers,0.0,https://www.facebook.com/copsareheroes/,0.0,0.0,"Interests: State police, Law enforcement in the United                                    States, Police, Law enforcement or Police officer                                    And Must Also Match: Interests Support Law Enforcement, The Thin Blue                                    Line. Officer Down Memorial Page, The Thin Blue Line (emblem). Police                                    Wives Unite, National Police Wives Association or Heroes Behind The Badge",,,
137,2870,Join us and make changes for the Black community Its time to take actions,47.55,https://www.facebook.com/PanAfrootsmove/,29.0,0.0,05/11/17 06:00:00 AM PDT,,,2017-05-11
138,2995,Hallelujah Join our non denominational Christian group,0.0,https://www.facebook.com/Black_liberation_church-1160193507389202/,0.0,0.0,Exclude people who like Black_Baptist_church,,,
139,3084,There are always roadblocks obstacles and challenges and you have to findother ways to reach your goal Thats what makes it interesting Boris KodjoeSuccess stories Boris Kodjoe More Than ActorComment Boris Kodjoe the World of Alfa clothing There are alwaysroadblocks obstacles and challenges and you have to find other ways toreach your goal Thats what makes it interesting Boris Kodjoe Born BorisFrederic Cecil Boris Kodjoe More Than ActorBlackBlackblackblackinfo,467.5,http://black4black.info/2017/01/19/boris-kodjoe-more-than-actor/,2267.0,19.0,01/25/17 01:04:29 AM PST,,,2017-01-25
140,3096,Mexican grad cap,600.0,https://www.facebook.com/brownunitedfront/,44731.0,7292.0,04/25/17 11:09:00 AM PDT,,,2017-04-25
141,3097,Be all you can be in the Raza,130.34,https://www.facebook.com/brownunitedfront/,13115.0,1677.0,04/25/17 09:09:00 AM PDT,,,2017-04-25
142,3098,Hell yeaah,0.0,https://www.facebook.com/brownunitedfront/,0.0,0.0,04/27/17 03:12:00 PM PDT,,,2017-04-27
143,3099,Selena in Los Angeles California,0.0,https://www.facebook.com/brownunitedfront/,0.0,0.0,04/27/17 08:12:00 AM PDT,,,2017-04-27
144,3110,This invasive war cult has no place in any civilized society America as theland of the free should ban Sharia on federal level,200.0,https://www.facebook.com/StopAllInvaders/,6355.0,1015.0,05/19/17 08-29-31 AM PDT,,,2017-05-19
145,3123,Native art is so pure,300.0,https://www.facebook.com/Native-Americans-United-386046198404902/,3971.0,420.0,02/07/17 05:17:47 AM PST,,,2017-02-07
146,3127,Native American Painted Shield Lakota,200.0,https://www.facebook.com/Native-Americans-United-386046198404902/,927.0,155.0,02/01/17 11:32:16 PM PST,,,2017-02-01
147,3140,Do you want to see topgirls who applied for a job at FacebookHit the linktypetheater,10.0,https://www.facebook.com/Melanie-Black-659489547567007/,533.0,19.0,01/29/17 01:54:00 AM PST,,,2017-01-29
148,3141,Support our Veterans Veterans Come First,1.04,https://www.facebook.comNeterans-Come-First-1757336424535312/,26.0,2.0,Exclude people who like Veterans Come First,,,
149,3144,Our page is the living evidence of importance of police reform in AmericaWatch The Police,500.0,https://www.facebook.com/Watch-the-Police-1095374457243609/,955.0,50.0,Exclude people who like Watch the Police,,,
150,3146,We speak for all fellow members of LGBT community across the nationGender preference does not define you Your spirit defines you,0.0,https://www.facebook.com/LGBT-United-839497472793277/,0.0,0.0,Exclude people who like LGBT United,,,
151,3147,First online player for ur browser Listen everything for free musicfbinfoFaceMusic Stop AI,0.0,https://musicfb.info/,0.0,0.0,Behaviors: Facebook access (browser): Chrome                                    And Must Also Match: Interests: free music or Free software,,,
152,3149,A tiny browser extension will help you to browse listen and share any kind ofmusic Free online music library musicfbinfo FaceMusic Stop AI,354.55,https://musicfb.info/,1060.0,4.0,Behaviors: Facebook access (browser): Chrome                                    And Must Also Match: Interests Free software                                    And Must Also Match: Interests Music,,,
